ad_id,age,gender,percentage
205791821478415,25-34,unknown,0.000806
205791821478415,65+,male,0.057622
205791821478415,35-44,unknown,0.000845
205791821478415,18-24,unknown,0.000346
205791821478415,45-54,male,0.02407
205791821478415,25-34,female,0.149142
205791821478415,35-44,male,0.020845
205791821478415,45-54,female,0.121886
205791821478415,25-34,male,0.035664
205791821478415,55-64,unknown,0.000729
205791821478415,65+,unknown,0.000499
205791821478415,18-24,female,0.05267
205791821478415,55-64,female,0.173212
205791821478415,65+,female,0.202695
205791821478415,55-64,male,0.035318
205791821478415,18-24,male,0.029521
205791821478415,35-44,female,0.093478
205791821478415,45-54,unknown,0.000653
521523795794676,18-24,female,0.03117
521523795794676,18-24,male,0.005621
521523795794676,25-34,female,0.073071
521523795794676,45-54,female,0.110373
521523795794676,35-44,female,0.070005
521523795794676,65+,male,0.084824
521523795794676,65+,female,0.299949
521523795794676,55-64,female,0.208993
521523795794676,55-64,male,0.042412
521523795794676,25-34,male,0.025549
521523795794676,45-54,male,0.028615
521523795794676,35-44,male,0.016863
521523795794676,45-54,unknown,0.001533
521523795794676,55-64,unknown,0.000511
521523795794676,65+,unknown,0.000511
521523795794676,25-34,unknown,0
521523795794676,35-44,unknown,0
521523795794676,18-24,unknown,0
344875317212273,35-44,unknown,0.000747
344875317212273,18-24,unknown,0.000249
344875317212273,25-34,unknown,0.000249
344875317212273,18-24,female,0.011958
344875317212273,35-44,male,0.247882
344875317212273,55-64,male,0.090932
344875317212273,25-34,female,0.059542
344875317212273,45-54,male,0.179123
344875317212273,25-34,male,0.224464
344875317212273,35-44,female,0.076233
344875317212273,18-24,male,0.051071
344875317212273,55-64,female,0.017688
344875317212273,45-54,female,0.038615
344875317212273,45-54,unknown,0.001246
344875317212273,65+,unknown,0
344875317212273,65+,female,0
344875317212273,65+,male,0
344875317212273,55-64,unknown,0
329654535415246,45-54,unknown,0.002215
329654535415246,35-44,unknown,0.003322
329654535415246,45-54,male,0.139535
329654535415246,55-64,male,0.140642
329654535415246,35-44,female,0.115172
329654535415246,45-54,female,0.140642
329654535415246,55-64,female,0.127353
329654535415246,25-34,male,0.114064
329654535415246,25-34,female,0.110742
329654535415246,35-44,male,0.106312
329654535415246,65+,unknown,0
329654535415246,18-24,female,0
329654535415246,25-34,unknown,0
329654535415246,18-24,unknown,0
329654535415246,55-64,unknown,0
329654535415246,65+,female,0
329654535415246,18-24,male,0
329654535415246,65+,male,0
501963150918953,18-24,female,0.008439
501963150918953,55-64,female,0.042194
501963150918953,18-24,male,0.050633
501963150918953,45-54,female,0.033755
501963150918953,35-44,female,0.059072
501963150918953,45-54,male,0.185654
501963150918953,25-34,male,0.248945
501963150918953,55-64,male,0.126582
501963150918953,35-44,male,0.168776
501963150918953,25-34,female,0.075949
501963150918953,65+,unknown,0
501963150918953,35-44,unknown,0
501963150918953,45-54,unknown,0
501963150918953,25-34,unknown,0
501963150918953,18-24,unknown,0
501963150918953,55-64,unknown,0
501963150918953,65+,female,0
501963150918953,65+,male,0
505028233886868,25-34,unknown,0.000709
505028233886868,55-64,unknown,0.00078
505028233886868,35-44,female,0.120366
505028233886868,55-64,male,0.118877
505028233886868,35-44,male,0.158007
505028233886868,45-54,female,0.099242
505028233886868,45-54,male,0.143688
505028233886868,55-64,female,0.064294
505028233886868,25-34,male,0.170908
505028233886868,25-34,female,0.121146
505028233886868,45-54,unknown,0.000992
505028233886868,35-44,unknown,0.000992
505028233886868,65+,unknown,0
505028233886868,18-24,female,0
505028233886868,18-24,unknown,0
505028233886868,65+,female,0
505028233886868,18-24,male,0
505028233886868,65+,male,0
398087694963091,18-24,female,0.014493
398087694963091,45-54,unknown,0.004831
398087694963091,55-64,unknown,0.004831
398087694963091,25-34,female,0.067633
398087694963091,18-24,male,0.077295
398087694963091,35-44,female,0.111111
398087694963091,45-54,male,0.130435
398087694963091,35-44,male,0.140097
398087694963091,55-64,female,0.057971
398087694963091,25-34,male,0.164251
398087694963091,45-54,female,0.096618
398087694963091,55-64,male,0.130435
398087694963091,65+,unknown,0
398087694963091,35-44,unknown,0
398087694963091,25-34,unknown,0
398087694963091,18-24,unknown,0
398087694963091,65+,female,0
398087694963091,65+,male,0
240835367607073,35-44,unknown,0.000967
240835367607073,45-54,unknown,0.001693
240835367607073,25-34,unknown,0.001935
240835367607073,35-44,male,0.120919
240835367607073,55-64,female,0.092624
240835367607073,55-64,male,0.135429
240835367607073,25-34,male,0.198307
240835367607073,25-34,female,0.129867
240835367607073,35-44,female,0.096252
240835367607073,45-54,female,0.092866
240835367607073,45-54,male,0.128174
240835367607073,55-64,unknown,0.000967
240835367607073,65+,unknown,0
240835367607073,18-24,female,0
240835367607073,18-24,unknown,0
240835367607073,65+,female,0
240835367607073,18-24,male,0
240835367607073,65+,male,0
514824089764451,45-54,female,0.03733
514824089764451,25-34,female,0.078966
514824089764451,55-64,female,0.025126
514824089764451,18-24,male,0.054917
514824089764451,45-54,male,0.150395
514824089764451,55-64,male,0.091529
514824089764451,35-44,female,0.053482
514824089764451,35-44,male,0.205671
514824089764451,25-34,male,0.283202
514824089764451,18-24,female,0.018306
514824089764451,45-54,unknown,0.000718
514824089764451,35-44,unknown,0.000359
514824089764451,65+,unknown,0
514824089764451,55-64,unknown,0
514824089764451,25-34,unknown,0
514824089764451,18-24,unknown,0
514824089764451,65+,female,0
514824089764451,65+,male,0
1788787457996489,45-54,unknown,0.004184
1788787457996489,35-44,unknown,0.002092
1788787457996489,25-34,female,0.156904
1788787457996489,55-64,female,0.127615
1788787457996489,55-64,male,0.125523
1788787457996489,45-54,male,0.123431
1788787457996489,25-34,male,0.121339
1788787457996489,45-54,female,0.148536
1788787457996489,35-44,male,0.085774
1788787457996489,35-44,female,0.104603
1788787457996489,65+,unknown,0
1788787457996489,18-24,female,0
1788787457996489,25-34,unknown,0
1788787457996489,18-24,unknown,0
1788787457996489,55-64,unknown,0
1788787457996489,65+,female,0
1788787457996489,18-24,male,0
1788787457996489,65+,male,0
914179409444505,35-44,unknown,0.00237
914179409444505,55-64,unknown,0.000592
914179409444505,18-24,female,0.013626
914179409444505,45-54,unknown,0.001777
914179409444505,25-34,unknown,0.001777
914179409444505,25-34,female,0.07109
914179409444505,25-34,male,0.130628
914179409444505,35-44,male,0.162322
914179409444505,18-24,male,0.02577
914179409444505,35-44,female,0.087678
914179409444505,45-54,male,0.191351
914179409444505,55-64,male,0.12263
914179409444505,45-54,female,0.118483
914179409444505,55-64,female,0.069905
914179409444505,65+,unknown,0
914179409444505,65+,female,0
