ad_id,age,gender,percentage
900439277244053,65+,unknown,0.000354
900439277244053,35-44,male,0.042127
900439277244053,35-44,unknown,0.003377
900439277244053,45-54,unknown,0.001228
900439277244053,55-64,male,0.009587
900439277244053,45-54,male,0.015845
900439277244053,25-34,male,0.067441
900439277244053,55-64,female,0.050817
900439277244053,18-24,unknown,0.005006
900439277244053,25-34,unknown,0.002999
900439277244053,45-54,female,0.093747
900439277244053,65+,male,0.00758
900439277244053,65+,female,0.041797
900439277244053,18-24,male,0.053887
900439277244053,35-44,female,0.230542
900439277244053,25-34,female,0.236422
900439277244053,18-24,female,0.13696
900439277244053,55-64,unknown,0.000283
1525964154415380,25-34,female,0.029586
1525964154415380,55-64,female,0.112426
1525964154415380,35-44,female,0.047337
1525964154415380,45-54,male,0.08284
1525964154415380,65+,female,0.213018
1525964154415380,25-34,male,0.071006
1525964154415380,35-44,male,0.118343
1525964154415380,65+,male,0.112426
1525964154415380,55-64,male,0.130178
1525964154415380,45-54,female,0.073964
1525964154415380,18-24,male,0.005917
1525964154415380,35-44,unknown,0.002959
1525964154415380,18-24,female,0
1525964154415380,25-34,unknown,0
1525964154415380,45-54,unknown,0
1525964154415380,65+,unknown,0
1525964154415380,55-64,unknown,0
1525964154415380,18-24,unknown,0
932842390774325,25-34,unknown,0.000318
932842390774325,65+,female,0.098089
932842390774325,45-54,male,0.088854
932842390774325,18-24,female,0.016242
932842390774325,25-34,male,0.082803
932842390774325,55-64,female,0.111465
932842390774325,55-64,male,0.079299
932842390774325,45-54,female,0.139809
932842390774325,35-44,male,0.067197
932842390774325,45-54,unknown,0.000318
932842390774325,35-44,female,0.138217
932842390774325,25-34,female,0.100955
932842390774325,65+,male,0.059873
932842390774325,35-44,unknown,0.001274
932842390774325,18-24,unknown,0.000318
932842390774325,65+,unknown,0.000318
932842390774325,18-24,male,0.01465
932842390774325,55-64,unknown,0
313824263856927,55-64,female,0.107221
313824263856927,45-54,female,0.045952
313824263856927,55-64,male,0.172867
313824263856927,25-34,male,0.085339
313824263856927,35-44,female,0.02407
313824263856927,35-44,male,0.070022
313824263856927,65+,male,0.205689
313824263856927,65+,female,0.16849
313824263856927,18-24,male,0.013129
313824263856927,18-24,female,0.008753
313824263856927,45-54,male,0.080963
313824263856927,25-34,female,0.013129
313824263856927,55-64,unknown,0.002188
313824263856927,45-54,unknown,0.002188
313824263856927,18-24,unknown,0
313824263856927,35-44,unknown,0
313824263856927,25-34,unknown,0
313824263856927,65+,unknown,0
2958625554418803,35-44,unknown,0.000302
2958625554418803,45-54,unknown,0.000907
2958625554418803,18-24,male,0.002117
2958625554418803,25-34,male,0.019661
2958625554418803,55-64,male,0.037508
2958625554418803,65+,unknown,0.002117
2958625554418803,45-54,male,0.024803
2958625554418803,25-34,female,0.03176
2958625554418803,45-54,female,0.07683
2958625554418803,55-64,female,0.183908
2958625554418803,65+,female,0.465517
2958625554418803,35-44,male,0.018451
2958625554418803,65+,male,0.082275
2958625554418803,35-44,female,0.049002
2958625554418803,18-24,female,0.00484
2958625554418803,18-24,unknown,0
2958625554418803,55-64,unknown,0
2958625554418803,25-34,unknown,0
169517148503796,25-34,male,0.08016
169517148503796,35-44,male,0.03006
169517148503796,25-34,female,0.150301
169517148503796,25-34,unknown,0.002004
169517148503796,18-24,unknown,0.006012
169517148503796,55-64,male,0.006012
169517148503796,55-64,female,0.026052
169517148503796,65+,male,0.012024
169517148503796,18-24,male,0.154309
169517148503796,35-44,female,0.102204
169517148503796,18-24,female,0.322645
169517148503796,65+,female,0.028056
169517148503796,45-54,female,0.06012
169517148503796,45-54,male,0.018036
169517148503796,45-54,unknown,0.002004
169517148503796,35-44,unknown,0
169517148503796,55-64,unknown,0
169517148503796,65+,unknown,0
546251503056885,35-44,unknown,8.5E-5
546251503056885,35-44,female,0.006603
546251503056885,35-44,male,0.003441
546251503056885,18-24,unknown,0.003116
546251503056885,18-24,female,0.404714
546251503056885,18-24,male,0.315347
546251503056885,25-34,female,0.156252
546251503056885,25-34,male,0.109358
546251503056885,25-34,unknown,0.001082
546251503056885,55-64,female,0
546251503056885,45-54,female,0
546251503056885,65+,female,0
546251503056885,45-54,unknown,0
546251503056885,65+,unknown,0
546251503056885,55-64,unknown,0
546251503056885,55-64,male,0
546251503056885,45-54,male,0
546251503056885,65+,male,0
129829332561530,55-64,unknown,0.001868
129829332561530,18-24,male,0.014479
129829332561530,45-54,unknown,0.001401
129829332561530,65+,unknown,0.002335
129829332561530,35-44,female,0.061186
129829332561530,35-44,male,0.069127
129829332561530,18-24,female,0.012611
129829332561530,45-54,male,0.082205
129829332561530,25-34,male,0.059318
129829332561530,25-34,unknown,0.001401
129829332561530,45-54,female,0.106959
129829332561530,65+,male,0.103223
129829332561530,55-64,female,0.155535
129829332561530,65+,female,0.195703
129829332561530,25-34,female,0.0383
129829332561530,55-64,male,0.092947
129829332561530,35-44,unknown,0.001401
129829332561530,18-24,unknown,0
4004735392958144,25-34,female,0.010444
4004735392958144,25-34,male,0.033943
4004735392958144,65+,male,0.178851
4004735392958144,35-44,female,0.02611
4004735392958144,65+,female,0.173629
4004735392958144,55-64,female,0.126632
4004735392958144,55-64,male,0.155352
4004735392958144,18-24,male,0.018277
4004735392958144,45-54,female,0.077023
4004735392958144,45-54,male,0.118799
4004735392958144,35-44,male,0.079634
