ad_id,age,gender,percentage
525463248697745,45-54,male,0.623288
525463248697745,35-44,male,0.320548
525463248697745,55-64,male,0.056164
525463248697745,35-44,unknown,0
525463248697745,55-64,unknown,0
525463248697745,65+,male,0
525463248697745,18-24,unknown,0
525463248697745,25-34,male,0
525463248697745,45-54,unknown,0
525463248697745,55-64,female,0
525463248697745,35-44,female,0
525463248697745,65+,unknown,0
525463248697745,18-24,female,0
525463248697745,25-34,unknown,0
525463248697745,45-54,female,0
525463248697745,25-34,female,0
525463248697745,65+,female,0
525463248697745,18-24,male,0
311189277059439,65+,unknown,0.002825
311189277059439,45-54,female,0.095104
311189277059439,18-24,unknown,0.000942
311189277059439,45-54,unknown,0.002354
311189277059439,25-34,unknown,0.003296
311189277059439,35-44,unknown,0.001883
311189277059439,35-44,male,0.066855
311189277059439,65+,male,0.127589
311189277059439,18-24,male,0.032486
311189277059439,25-34,female,0.050377
311189277059439,35-44,female,0.058851
311189277059439,45-54,male,0.09887
311189277059439,25-34,male,0.065443
311189277059439,55-64,female,0.12806
311189277059439,55-64,male,0.11064
311189277059439,65+,female,0.12806
311189277059439,18-24,female,0.02307
311189277059439,55-64,unknown,0.003296
136518665080299,45-54,female,0.057895
136518665080299,35-44,male,0.078947
136518665080299,55-64,male,0.094737
136518665080299,25-34,male,0.036842
136518665080299,55-64,female,0.147368
136518665080299,65+,female,0.189474
136518665080299,65+,male,0.168421
136518665080299,35-44,female,0.042105
136518665080299,18-24,male,0.031579
136518665080299,45-54,male,0.084211
136518665080299,25-34,female,0.042105
136518665080299,18-24,female,0.026316
136518665080299,35-44,unknown,0
136518665080299,55-64,unknown,0
136518665080299,25-34,unknown,0
136518665080299,18-24,unknown,0
136518665080299,45-54,unknown,0
136518665080299,65+,unknown,0
461146175206312,65+,unknown,0.000482
461146175206312,25-34,unknown,0.000964
461146175206312,35-44,unknown,0.000482
461146175206312,45-54,female,0.103133
461146175206312,25-34,female,0.058795
461146175206312,35-44,male,0.049157
461146175206312,45-54,male,0.090602
461146175206312,55-64,female,0.160964
461146175206312,65+,male,0.112771
461146175206312,25-34,male,0.053494
461146175206312,18-24,female,0.020241
461146175206312,65+,female,0.171084
461146175206312,55-64,male,0.09253
461146175206312,35-44,female,0.06747
461146175206312,18-24,male,0.017831
461146175206312,55-64,unknown,0
461146175206312,18-24,unknown,0
461146175206312,45-54,unknown,0
1133500240432308,55-64,female,0.008772
1133500240432308,25-34,unknown,0.008772
1133500240432308,35-44,male,0.087719
1133500240432308,65+,male,0.27193
1133500240432308,65+,female,0.078947
1133500240432308,18-24,male,0.052632
1133500240432308,55-64,male,0.157895
1133500240432308,45-54,male,0.184211
1133500240432308,25-34,male,0.122807
1133500240432308,45-54,female,0.017544
1133500240432308,25-34,female,0.008772
1133500240432308,35-44,unknown,0
1133500240432308,18-24,female,0
1133500240432308,55-64,unknown,0
1133500240432308,35-44,female,0
1133500240432308,18-24,unknown,0
1133500240432308,45-54,unknown,0
1133500240432308,65+,unknown,0
1181052305687008,55-64,unknown,0.000397
1181052305687008,35-44,unknown,0.001891
1181052305687008,25-34,unknown,0.001301
1181052305687008,55-64,female,0.07529
1181052305687008,45-54,female,0.106517
1181052305687008,25-34,female,0.171428
1181052305687008,35-44,male,0.144957
1181052305687008,35-44,female,0.136627
1181052305687008,25-34,male,0.178246
1181052305687008,45-54,male,0.11124
1181052305687008,55-64,male,0.071019
1181052305687008,45-54,unknown,0.001089
1181052305687008,18-24,female,0
1181052305687008,65+,male,0
1181052305687008,18-24,unknown,0
1181052305687008,65+,female,0
1181052305687008,18-24,male,0
1181052305687008,65+,unknown,0
178559940460843,18-24,unknown,0.00015
178559940460843,55-64,female,0.09464
178559940460843,55-64,unknown,0.000299
178559940460843,18-24,female,0.04134
178559940460843,25-34,female,0.079166
178559940460843,35-44,male,0.095313
178559940460843,25-34,male,0.106003
178559940460843,18-24,male,0.050908
178559940460843,35-44,female,0.077671
178559940460843,35-44,unknown,0.000523
178559940460843,65+,unknown,0.000449
178559940460843,65+,female,0.095313
178559940460843,55-64,male,0.082081
178559940460843,45-54,female,0.092547
178559940460843,45-54,male,0.109292
178559940460843,65+,male,0.073858
178559940460843,45-54,unknown,0.000299
178559940460843,25-34,unknown,0.00015
168965398325126,25-34,unknown,0.00067
168965398325126,65+,male,0.018084
168965398325126,25-34,male,0.132619
168965398325126,65+,female,0.020764
168965398325126,45-54,unknown,0.00134
168965398325126,25-34,female,0.113865
168965398325126,35-44,female,0.054923
168965398325126,55-64,male,0.036839
168965398325126,45-54,male,0.068989
168965398325126,45-54,female,0.073007
168965398325126,18-24,male,0.152713
168965398325126,35-44,male,0.067649
168965398325126,55-64,female,0.047555
168965398325126,18-24,female,0.210985
168965398325126,35-44,unknown,0
168965398325126,18-24,unknown,0
168965398325126,65+,unknown,0
168965398325126,55-64,unknown,0
1880069785494229,25-34,unknown,0.000869
1880069785494229,25-34,male,0.148218
1880069785494229,45-54,unknown,0.001014
1880069785494229,65+,unknown,0.000362
1880069785494229,65+,female,0.046726
1880069785494229,18-24,male,0.056868
1880069785494229,65+,male,0.032237
1880069785494229,18-24,female,0.074906
1880069785494229,25-34,female,0.130832
1880069785494229,55-64,unknown,0.000435
1880069785494229,55-64,female,0.061721
1880069785494229,45-54,male,0.08599
1880069785494229,45-54,female,0.079397
1880069785494229,35-44,female,0.108447
1880069785494229,55-64,male,0.049986
1880069785494229,35-44,male,0.120183
1880069785494229,35-44,unknown,0.001739
1880069785494229,18-24,unknown,7.2E-5
202900354396249,25-34,male,0.057572
202900354396249,55-64,male,0.098248
202900354396249,65+,male,0.122028
202900354396249,45-54,female,0.091364
202900354396249,18-24,female,0.040676
202900354396249,55-64,female,0.141427
202900354396249,65+,female,0.209011
202900354396249,35-44,male,0.043179
202900354396249,18-24,male,0.036921
202900354396249,25-34,female,0.042553
202900354396249,45-54,male,0.079474
202900354396249,35-44,female,0.033792
202900354396249,35-44,unknown,0.001252
202900354396249,45-54,unknown,0.001877
202900354396249,25-34,unknown,0.000626
202900354396249,55-64,unknown,0
202900354396249,18-24,unknown,0
202900354396249,65+,unknown,0
354019018623123,35-44,unknown,0.000451
354019018623123,65+,female,0.196034
354019018623123,25-34,male,0.050473
354019018623123,35-44,male,0.068049
354019018623123,55-64,male,0.171699
354019018623123,45-54,male,0.124831
354019018623123,45-54,female,0.050924
354019018623123,55-64,female,0.118522
354019018623123,65+,male,0.167192
354019018623123,18-24,male,0.022082
354019018623123,35-44,female,0.015322
354019018623123,18-24,female,0.006309
354019018623123,25-34,female,0.006309
354019018623123,25-34,unknown,0.000901
354019018623123,65+,unknown,0.000901
354019018623123,55-64,unknown,0
354019018623123,18-24,unknown,0
354019018623123,45-54,unknown,0
