ad_id,age,gender,percentage
1525964154415380,25-34,female,0.029586
1525964154415380,55-64,female,0.112426
1525964154415380,35-44,female,0.047337
1525964154415380,45-54,male,0.08284
1525964154415380,65+,female,0.213018
1525964154415380,25-34,male,0.071006
1525964154415380,35-44,male,0.118343
1525964154415380,65+,male,0.112426
1525964154415380,55-64,male,0.130178
1525964154415380,45-54,female,0.073964
1525964154415380,18-24,male,0.005917
1525964154415380,35-44,unknown,0.002959
1525964154415380,18-24,unknown,0
1525964154415380,25-34,unknown,0
1525964154415380,55-64,unknown,0
1525964154415380,45-54,unknown,0
1525964154415380,18-24,female,0
1525964154415380,65+,unknown,0
963084447860385,18-24,male,0.01676
963084447860385,18-24,female,0.027933
963084447860385,35-44,male,0.100559
963084447860385,55-64,female,0.122905
963084447860385,55-64,male,0.106145
963084447860385,65+,female,0.122905
963084447860385,25-34,female,0.050279
963084447860385,65+,male,0.072626
963084447860385,45-54,female,0.150838
963084447860385,45-54,male,0.067039
963084447860385,25-34,male,0.111732
963084447860385,35-44,female,0.050279
963084447860385,18-24,unknown,0
963084447860385,25-34,unknown,0
963084447860385,55-64,unknown,0
963084447860385,45-54,unknown,0
963084447860385,35-44,unknown,0
963084447860385,65+,unknown,0
1174156816364915,35-44,unknown,0.008
1174156816364915,65+,female,0.174
1174156816364915,45-54,male,0.07
1174156816364915,55-64,male,0.04
1174156816364915,65+,male,0.08
1174156816364915,35-44,female,0.114
1174156816364915,25-34,female,0.138
1174156816364915,55-64,female,0.14
1174156816364915,25-34,male,0.064
1174156816364915,45-54,female,0.118
1174156816364915,65+,unknown,0.004
1174156816364915,35-44,male,0.048
1174156816364915,25-34,unknown,0.002
1174156816364915,18-24,unknown,0
1174156816364915,45-54,unknown,0
1174156816364915,55-64,unknown,0
1174156816364915,18-24,female,0
1174156816364915,18-24,male,0
2795265877450464,35-44,unknown,0.002141
2795265877450464,25-34,male,0.029979
2795265877450464,65+,male,0.066381
2795265877450464,25-34,female,0.047109
2795265877450464,45-54,female,0.186296
2795265877450464,65+,female,0.126338
2795265877450464,35-44,female,0.12848
2795265877450464,45-54,male,0.072805
2795265877450464,55-64,female,0.201285
2795265877450464,35-44,male,0.062099
2795265877450464,55-64,male,0.074946
2795265877450464,55-64,unknown,0.002141
2795265877450464,18-24,unknown,0
2795265877450464,25-34,unknown,0
2795265877450464,45-54,unknown,0
2795265877450464,18-24,female,0
2795265877450464,65+,unknown,0
2795265877450464,18-24,male,0
284589833395925,55-64,male,0.041096
284589833395925,25-34,male,0.068493
284589833395925,65+,male,0.047945
284589833395925,35-44,female,0.157534
284589833395925,55-64,female,0.157534
284589833395925,35-44,male,0.061644
284589833395925,45-54,male,0.041096
284589833395925,45-54,female,0.123288
284589833395925,65+,female,0.136986
284589833395925,25-34,female,0.150685
284589833395925,35-44,unknown,0.013699
284589833395925,18-24,unknown,0
284589833395925,25-34,unknown,0
284589833395925,55-64,unknown,0
284589833395925,45-54,unknown,0
284589833395925,18-24,female,0
284589833395925,65+,unknown,0
284589833395925,18-24,male,0
164592195545979,25-34,male,0.016949
164592195545979,45-54,male,0.033898
164592195545979,65+,male,0.050847
164592195545979,45-54,female,0.169492
164592195545979,55-64,female,0.152542
164592195545979,35-44,female,0.118644
164592195545979,65+,female,0.237288
164592195545979,55-64,male,0.135593
164592195545979,25-34,female,0.033898
164592195545979,35-44,male,0.050847
164592195545979,18-24,unknown,0
164592195545979,25-34,unknown,0
164592195545979,55-64,unknown,0
164592195545979,45-54,unknown,0
164592195545979,18-24,female,0
164592195545979,35-44,unknown,0
164592195545979,65+,unknown,0
164592195545979,18-24,male,0
497383811505406,45-54,unknown,0.001742
497383811505406,65+,female,0.069686
497383811505406,45-54,male,0.062718
497383811505406,25-34,female,0.19338
497383811505406,45-54,female,0.175958
497383811505406,55-64,female,0.109756
497383811505406,35-44,female,0.142857
497383811505406,25-34,male,0.095819
497383811505406,55-64,male,0.04878
497383811505406,65+,male,0.036585
497383811505406,35-44,male,0.062718
497383811505406,18-24,unknown,0
497383811505406,25-34,unknown,0
497383811505406,55-64,unknown,0
497383811505406,18-24,female,0
497383811505406,35-44,unknown,0
497383811505406,65+,unknown,0
497383811505406,18-24,male,0
301297438298752,25-34,unknown,0.002392
301297438298752,35-44,female,0.084928
301297438298752,25-34,male,0.075359
301297438298752,65+,male,0.090909
301297438298752,55-64,male,0.125
301297438298752,35-44,male,0.101077
301297438298752,45-54,male,0.12799
301297438298752,55-64,female,0.125
301297438298752,25-34,female,0.053828
301297438298752,45-54,female,0.118421
301297438298752,65+,female,0.087321
301297438298752,35-44,unknown,0.002392
301297438298752,45-54,unknown,0.004187
301297438298752,55-64,unknown,0.001196
301297438298752,65+,unknown,0
301297438298752,18-24,female,0
301297438298752,18-24,unknown,0
301297438298752,18-24,male,0
2868627523386974,55-64,unknown,0.000631
2868627523386974,45-54,unknown,0.00183
2868627523386974,45-54,male,0.084306
2868627523386974,25-34,female,0.064997
2868627523386974,35-44,female,0.127784
2868627523386974,35-44,unknown,0.001451
2868627523386974,55-64,female,0.163059
2868627523386974,65+,female,0.111945
2868627523386974,45-54,female,0.143497
2868627523386974,25-34,male,0.058118
2868627523386974,55-64,male,0.092005
2868627523386974,65+,male,0.078311
2868627523386974,35-44,male,0.070991
2868627523386974,65+,unknown,0.000631
2868627523386974,25-34,unknown,0.000442
2868627523386974,18-24,female,0
2868627523386974,18-24,unknown,0
2868627523386974,18-24,male,0
244753534085068,65+,unknown,0.000985
244753534085068,45-54,unknown,0.002956
244753534085068,45-54,male,0.084729
244753534085068,35-44,male,0.068966
244753534085068,55-64,male,0.094581
244753534085068,65+,female,0.101478
244753534085068,35-44,female,0.150739
244753534085068,25-34,male,0.063054
244753534085068,55-64,female,0.15468
244753534085068,25-34,female,0.065025
244753534085068,45-54,female,0.120197
244753534085068,65+,male,0.08867
244753534085068,55-64,unknown,0.000985
244753534085068,25-34,unknown,0.000985
244753534085068,35-44,unknown,0.00197
244753534085068,18-24,female,0
244753534085068,18-24,unknown,0
244753534085068,18-24,male,0
333208104912471,45-54,unknown,0.002616
333208104912471,45-54,female,0.129032
333208104912471,25-34,female,0.057541
333208104912471,65+,female,0.122058
333208104912471,45-54,male,0.09939
333208104912471,65+,male,0.087184
333208104912471,55-64,male,0.103749
333208104912471,35-44,female,0.120314
333208104912471,55-64,female,0.159547
333208104912471,25-34,male,0.055798
333208104912471,65+,unknown,0.000872
333208104912471,35-44,male,0.060157
333208104912471,35-44,unknown,0.001744
333208104912471,18-24,unknown,0
333208104912471,25-34,unknown,0
333208104912471,55-64,unknown,0
333208104912471,18-24,female,0
333208104912471,18-24,male,0
140631898046161,45-54,unknown,0.001193
140631898046161,55-64,unknown,0.000596
140631898046161,25-34,unknown,0.001789
140631898046161,45-54,male,0.064401
140631898046161,55-64,male,0.064997
140631898046161,35-44,male,0.107335
140631898046161,25-34,female,0.132976
140631898046161,35-44,female,0.134764
140631898046161,25-34,male,0.160405
140631898046161,55-64,female,0.100179
140631898046161,45-54,female,0.071556
140631898046161,65+,male,0.053667
140631898046161,65+,female,0.103757
140631898046161,35-44,unknown,0.002385
140631898046161,65+,unknown,0
140631898046161,18-24,female,0
140631898046161,18-24,unknown,0
140631898046161,18-24,male,0
217196019877326,65+,unknown,0.000751
217196019877326,25-34,male,0.007508
217196019877326,25-34,female,0.010511
217196019877326,35-44,female,0.01952
217196019877326,45-54,male,0.036787
217196019877326,55-64,female,0.204955
217196019877326,55-64,male,0.083333
217196019877326,65+,female,0.417417
217196019877326,65+,male,0.13964
217196019877326,45-54,female,0.061562
217196019877326,35-44,male,0.018018
217196019877326,18-24,unknown,0
217196019877326,25-34,unknown,0
