ad_id,region,percentage
205791821478415,Drenthe,0.036346
205791821478415,Friesland,0.050526
205791821478415,Gelderland,0.100363
205791821478415,Groningen,0.04357
205791821478415,Limburg,0.0837
205791821478415,North Brabant,0.121422
205791821478415,Noord-Holland,0.168813
205791821478415,Utrecht,0.054959
205791821478415,Zeeland,0.026027
205791821478415,Zuid-Holland,0.220791
205791821478415,Overijssel,0.066119
205791821478415,Flevoland,0.027365
521523795794676,Drenthe,0.037968
521523795794676,Friesland,0.049769
521523795794676,Gelderland,0.092355
521523795794676,Groningen,0.043099
521523795794676,Limburg,0.084659
521523795794676,North Brabant,0.12314
521523795794676,Noord-Holland,0.1647
521523795794676,Utrecht,0.064649
521523795794676,Zeeland,0.03489
521523795794676,Zuid-Holland,0.211904
521523795794676,Overijssel,0.073884
521523795794676,Flevoland,0.018984
344875317212273,Drenthe,0.015644
344875317212273,Friesland,0.021852
344875317212273,Gelderland,0.076235
344875317212273,Groningen,0.024336
344875317212273,Limburg,0.061584
344875317212273,North Brabant,0.111994
344875317212273,Noord-Holland,0.193196
344875317212273,Utrecht,0.046685
344875317212273,Zeeland,0.016389
344875317212273,Zuid-Holland,0.349143
344875317212273,Overijssel,0.042463
344875317212273,Flevoland,0.040477
329654535415246,Drenthe,0.028793
329654535415246,Friesland,0.052049
329654535415246,Gelderland,0.093023
329654535415246,Groningen,0.056478
329654535415246,Limburg,0.066445
329654535415246,North Brabant,0.114064
329654535415246,Noord-Holland,0.163898
329654535415246,Utrecht,0.056478
329654535415246,Zeeland,0.018826
329654535415246,Zuid-Holland,0.253599
329654535415246,Overijssel,0.075305
329654535415246,Flevoland,0.021041
501963150918953,Drenthe,0.016878
501963150918953,Friesland,0.012658
501963150918953,Gelderland,0.07173
501963150918953,Groningen,0.033755
501963150918953,Limburg,0.042194
501963150918953,North Brabant,0.105485
501963150918953,Noord-Holland,0.232068
501963150918953,Utrecht,0.059072
501963150918953,Zeeland,0.016878
501963150918953,Zuid-Holland,0.316456
501963150918953,Overijssel,0.063291
501963150918953,Flevoland,0.029536
505028233886868,Drenthe,0.024572
505028233886868,Friesland,0.025708
505028233886868,Gelderland,0.081812
505028233886868,Groningen,0.033804
505028233886868,Limburg,0.069739
505028233886868,North Brabant,0.135786
505028233886868,Noord-Holland,0.179959
505028233886868,Utrecht,0.04815
505028233886868,Zeeland,0.020737
505028233886868,Zuid-Holland,0.293232
505028233886868,Overijssel,0.055252
505028233886868,Flevoland,0.031248
398087694963091,Drenthe,0.033816
398087694963091,Friesland,0.024155
398087694963091,Gelderland,0.101449
398087694963091,Groningen,0.038647
398087694963091,Limburg,0.048309
398087694963091,North Brabant,0.101449
398087694963091,Noord-Holland,0.198068
398087694963091,Utrecht,0.057971
398087694963091,Zuid-Holland,0.280193
398087694963091,Overijssel,0.082126
398087694963091,Flevoland,0.033816
398087694963091,Zeeland,0
240835367607073,Drenthe,0.034349
240835367607073,Friesland,0.036043
240835367607073,Gelderland,0.09434
240835367607073,Groningen,0.040155
240835367607073,Limburg,0.06894
240835367607073,North Brabant,0.137639
240835367607073,Noord-Holland,0.190131
240835367607073,Utrecht,0.057813
240835367607073,Zeeland,0.020561
240835367607073,Zuid-Holland,0.229076
240835367607073,Overijssel,0.060474
240835367607073,Flevoland,0.030479
514824089764451,Drenthe,0.011461
514824089764451,Friesland,0.023997
514824089764451,Gelderland,0.071633
514824089764451,Groningen,0.023997
514824089764451,Limburg,0.050143
514824089764451,North Brabant,0.113539
514824089764451,Noord-Holland,0.216691
514824089764451,Utrecht,0.055874
514824089764451,Zeeland,0.02149
514824089764451,Zuid-Holland,0.333811
514824089764451,Overijssel,0.039756
514824089764451,Flevoland,0.037607
1788787457996489,Drenthe,0.035565
1788787457996489,Friesland,0.046025
1788787457996489,Gelderland,0.119247
1788787457996489,Groningen,0.064854
1788787457996489,Limburg,0.056485
1788787457996489,North Brabant,0.131799
1788787457996489,Noord-Holland,0.161088
1788787457996489,Utrecht,0.079498
1788787457996489,Zeeland,0.025105
1788787457996489,Zuid-Holland,0.177824
1788787457996489,Overijssel,0.077406
1788787457996489,Flevoland,0.025105
914179409444505,Drenthe,0.030348
914179409444505,Friesland,0.040071
914179409444505,Gelderland,0.104302
914179409444505,Groningen,0.039481
914179409444505,Limburg,0.058338
914179409444505,North Brabant,0.124337
914179409444505,Noord-Holland,0.187095
914179409444505,Utrecht,0.081615
914179409444505,Zeeland,0.018857
914179409444505,Zuid-Holland,0.225987
914179409444505,Overijssel,0.059222
914179409444505,Flevoland,0.030348
2887042101605846,Drenthe,0.023963
2887042101605846,Friesland,0.031008
2887042101605846,Gelderland,0.099143
2887042101605846,Groningen,0.030081
2887042101605846,Limburg,0.059328
2887042101605846,North Brabant,0.113789
2887042101605846,Noord-Holland,0.212746
2887042101605846,Utrecht,0.067671
2887042101605846,Zeeland,0.018123
2887042101605846,Zuid-Holland,0.260811
2887042101605846,Overijssel,0.05168
2887042101605846,Flevoland,0.031657
570374880620516,Drenthe,0.02535
570374880620516,Friesland,0.027053
570374880620516,Gelderland,0.100076
570374880620516,Groningen,0.027053
570374880620516,Limburg,0.068294
570374880620516,North Brabant,0.139992
570374880620516,Noord-Holland,0.180855
570374880620516,Utrecht,0.051267
570374880620516,Zeeland,0.020621
570374880620516,Zuid-Holland,0.265229
570374880620516,Overijssel,0.058267
570374880620516,Flevoland,0.035944
865448334321407,Friesland,0.023715
