ad_id,region,percentage
900439277244053,Drenthe,0.0235
900439277244053,Friesland,0.026236
900439277244053,Gelderland,0.092391
900439277244053,Groningen,0.030197
900439277244053,Limburg,0.046543
900439277244053,North Brabant,0.111978
900439277244053,Noord-Holland,0.282045
900439277244053,Utrecht,0.079021
900439277244053,Zeeland,0.015074
900439277244053,Zuid-Holland,0.211354
900439277244053,Overijssel,0.057897
900439277244053,Flevoland,0.023764
1525964154415380,Friesland,0.020772
1525964154415380,Gelderland,0.020772
1525964154415380,Noord-Holland,0.804154
1525964154415380,Utrecht,0.011869
1525964154415380,Zuid-Holland,0.005935
1525964154415380,Flevoland,0.136499
1525964154415380,Zeeland,0
1525964154415380,Limburg,0
1525964154415380,Groningen,0
1525964154415380,North Brabant,0
1525964154415380,Overijssel,0
932842390774325,Drenthe,0.049206
932842390774325,Friesland,0.062857
932842390774325,Gelderland,0.15873
932842390774325,Groningen,0.053016
932842390774325,Limburg,0.052381
932842390774325,North Brabant,0.117778
932842390774325,Noord-Holland,0.08254
932842390774325,Utrecht,0.065079
932842390774325,Zeeland,0.030159
932842390774325,Zuid-Holland,0.17619
932842390774325,Overijssel,0.120635
932842390774325,Flevoland,0.031429
313824263856927,Drenthe,0.030635
313824263856927,Friesland,0.09628
313824263856927,Gelderland,0.059081
313824263856927,Groningen,0.065646
313824263856927,Limburg,0.185996
313824263856927,North Brabant,0.19256
313824263856927,Noord-Holland,0.089716
313824263856927,Utrecht,0.026258
313824263856927,Zeeland,0.028446
313824263856927,Zuid-Holland,0.146608
313824263856927,Overijssel,0.065646
313824263856927,Flevoland,0.013129
2958625554418803,Drenthe,0.03928
2958625554418803,Friesland,0.046777
2958625554418803,Gelderland,0.109445
2958625554418803,Groningen,0.033883
2958625554418803,Limburg,0.098951
2958625554418803,North Brabant,0.122639
2958625554418803,Noord-Holland,0.16012
2958625554418803,Utrecht,0.047976
2958625554418803,Zeeland,0.030585
2958625554418803,Zuid-Holland,0.208996
