ad_id,age,gender,percentage
1050791149380637,45-54,unknown,0.001091
1050791149380637,18-24,female,0.003272
1050791149380637,18-24,male,0.009269
1050791149380637,25-34,female,0.01036
1050791149380637,25-34,male,0.023991
1050791149380637,45-54,male,0.10578
1050791149380637,65+,female,0.217012
1050791149380637,55-64,female,0.156489
1050791149380637,65+,male,0.154853
1050791149380637,55-64,male,0.14831
1050791149380637,45-54,female,0.075245
1050791149380637,35-44,female,0.035442
1050791149380637,35-44,male,0.057252
1050791149380637,35-44,unknown,0.001636
215383088249721,18-24,female,0.007667
215383088249721,35-44,male,0.026941
215383088249721,35-44,female,0.021084
215383088249721,45-54,female,0.043606
215383088249721,55-64,female,0.100894
215383088249721,65+,male,0.248642
215383088249721,55-64,male,0.097966
215383088249721,65+,female,0.357683
215383088249721,45-54,male,0.031892
215383088249721,25-34,male,0.033969
215383088249721,25-34,female,0.022948
215383088249721,18-24,male,0.006709
1127103325114191,55-64,male,0.00046
1127103325114191,45-54,male,0.001456
1127103325114191,65+,female,0.002146
1127103325114191,45-54,female,0.013334
1127103325114191,65+,male,0.000613
1127103325114191,25-34,female,0.410683
1127103325114191,18-24,male,0.064449
1127103325114191,25-34,male,0.074029
1127103325114191,18-24,female,0.346923
1127103325114191,35-44,female,0.074259
1127103325114191,35-44,male,0.009809
1127103325114191,55-64,female,0.001839
1031357884735715,55-64,unknown,8.6E-5
1031357884735715,45-54,female,0.055027
1031357884735715,35-44,unknown,0.000684
1031357884735715,25-34,female,0.458402
1031357884735715,18-24,female,0.255346
1031357884735715,18-24,male,0.014997
1031357884735715,55-64,female,0.025746
1031357884735715,35-44,female,0.148058
1031357884735715,55-64,male,0.000741
1031357884735715,65+,male,0.000485
1031357884735715,45-54,male,0.001597
1031357884735715,35-44,male,0.005046
1031357884735715,25-34,male,0.019673
1031357884735715,18-24,unknown,0.003079
1031357884735715,65+,female,0.008354
1031357884735715,25-34,unknown,0.002338
1031357884735715,45-54,unknown,0.000285
1031357884735715,65+,unknown,5.7E-5
1157830321855524,55-64,unknown,0.001867
1157830321855524,45-54,unknown,0.000934
1157830321855524,25-34,unknown,0.000934
1157830321855524,55-64,male,0.085901
1157830321855524,18-24,female,0.151261
1157830321855524,65+,female,0.121382
1157830321855524,25-34,male,0.035481
1157830321855524,45-54,female,0.066293
1157830321855524,65+,male,0.089636
1157830321855524,45-54,male,0.072829
1157830321855524,25-34,female,0.09057
1157830321855524,18-24,male,0.060691
1157830321855524,65+,unknown,0.000934
1157830321855524,55-64,female,0.098039
1157830321855524,35-44,female,0.063492
1157830321855524,35-44,male,0.059757
333064232773892,18-24,male,0.075472
333064232773892,25-34,female,0.301887
333064232773892,35-44,female,0.150943
333064232773892,35-44,male,0.103774
333064232773892,25-34,male,0.216981
333064232773892,18-24,female,0.150943
365740699267658,18-24,unknown,0.000495
365740699267658,45-54,male,0.077999
365740699267658,45-54,unknown,0.000557
365740699267658,35-44,unknown,0.000619
365740699267658,55-64,unknown,0.000495
365740699267658,25-34,unknown,0.000557
