ad_id,age,gender,percentage
213921107426464,45-54,unknown,0.002227
213921107426464,55-64,female,0.135857
213921107426464,35-44,female,0.091314
213921107426464,45-54,female,0.187082
213921107426464,45-54,male,0.11804
213921107426464,25-34,male,0.146993
213921107426464,25-34,female,0.075724
213921107426464,35-44,male,0.084633
213921107426464,55-64,male,0.10245
213921107426464,18-24,male,0.046771
213921107426464,18-24,female,0.004454
213921107426464,35-44,unknown,0.004454
213921107426464,65+,female,0
213921107426464,65+,unknown,0
213921107426464,25-34,unknown,0
213921107426464,65+,male,0
213921107426464,18-24,unknown,0
213921107426464,55-64,unknown,0
370230621364815,35-44,unknown,0.001533
370230621364815,45-54,unknown,0.003578
370230621364815,45-54,female,0.12385
370230621364815,55-64,female,0.090971
370230621364815,55-64,male,0.321976
370230621364815,45-54,male,0.330835
370230621364815,35-44,female,0.031516
370230621364815,35-44,male,0.094378
370230621364815,55-64,unknown,0.001363
370230621364815,65+,female,0
370230621364815,65+,unknown,0
370230621364815,25-34,unknown,0
370230621364815,25-34,male,0
370230621364815,18-24,female,0
370230621364815,65+,male,0
370230621364815,18-24,unknown,0
370230621364815,18-24,male,0
370230621364815,25-34,female,0
531269464820552,35-44,unknown,0.003517
531269464820552,35-44,female,0.042497
531269464820552,45-54,male,0.313306
531269464820552,55-64,male,0.272567
531269464820552,35-44,male,0.101407
531269464820552,55-64,female,0.106975
531269464820552,45-54,female,0.155041
531269464820552,45-54,unknown,0.003517
531269464820552,55-64,unknown,0.001172
531269464820552,65+,female,0
531269464820552,65+,unknown,0
531269464820552,25-34,unknown,0
531269464820552,25-34,male,0
531269464820552,18-24,female,0
531269464820552,65+,male,0
531269464820552,18-24,unknown,0
531269464820552,18-24,male,0
531269464820552,25-34,female,0
560834021631234,35-44,unknown,0.000801
560834021631234,55-64,female,0.107729
560834021631234,45-54,male,0.309371
560834021631234,45-54,female,0.135162
560834021631234,35-44,male,0.098118
560834021631234,55-64,male,0.306568
560834021631234,35-44,female,0.038646
560834021631234,45-54,unknown,0.002603
560834021631234,55-64,unknown,0.001001
560834021631234,65+,female,0
560834021631234,65+,unknown,0
560834021631234,25-34,unknown,0
560834021631234,25-34,male,0
560834021631234,18-24,female,0
560834021631234,65+,male,0
560834021631234,18-24,unknown,0
560834021631234,18-24,male,0
560834021631234,25-34,female,0
1445324835867284,35-44,unknown,0.001818
1445324835867284,55-64,female,0.085732
1445324835867284,45-54,female,0.150863
1445324835867284,45-54,male,0.347773
1445324835867284,35-44,male,0.12269
1445324835867284,55-64,male,0.237807
1445324835867284,35-44,female,0.049682
1445324835867284,45-54,unknown,0.003029
1445324835867284,55-64,unknown,0.000606
1445324835867284,65+,female,0
1445324835867284,65+,unknown,0
1445324835867284,25-34,unknown,0
1445324835867284,25-34,male,0
1445324835867284,18-24,female,0
1445324835867284,65+,male,0
1445324835867284,18-24,unknown,0
1445324835867284,18-24,male,0
1445324835867284,25-34,female,0
1738903362978047,35-44,unknown,0.003367
1738903362978047,55-64,female,0.095398
1738903362978047,45-54,female,0.124018
1738903362978047,55-64,male,0.304153
1738903362978047,45-54,male,0.32716
1738903362978047,35-44,male,0.098204
1738903362978047,35-44,female,0.039282
1738903362978047,55-64,unknown,0.002806
1738903362978047,45-54,unknown,0.005612
1738903362978047,65+,female,0
1738903362978047,65+,unknown,0
1738903362978047,25-34,unknown,0
1738903362978047,25-34,male,0
1738903362978047,18-24,female,0
1738903362978047,65+,male,0
1738903362978047,18-24,unknown,0
1738903362978047,18-24,male,0
1738903362978047,25-34,female,0
1525964154415380,25-34,female,0.029586
1525964154415380,55-64,female,0.112426
1525964154415380,35-44,female,0.047337
1525964154415380,45-54,male,0.08284
1525964154415380,65+,female,0.213018
1525964154415380,25-34,male,0.071006
1525964154415380,35-44,male,0.118343
1525964154415380,65+,male,0.112426
1525964154415380,55-64,male,0.130178
1525964154415380,45-54,female,0.073964
1525964154415380,18-24,male,0.005917
1525964154415380,35-44,unknown,0.002959
1525964154415380,65+,unknown,0
1525964154415380,25-34,unknown,0
1525964154415380,18-24,female,0
1525964154415380,18-24,unknown,0
1525964154415380,55-64,unknown,0
1525964154415380,45-54,unknown,0
820514368838943,35-44,unknown,0.000591
820514368838943,55-64,unknown,0.001625
820514368838943,45-54,unknown,0.001772
820514368838943,45-54,female,0.171467
820514368838943,55-64,male,0.188008
820514368838943,35-44,female,0.084035
820514368838943,35-44,male,0.161128
820514368838943,45-54,male,0.308669
820514368838943,55-64,female,0.082706
820514368838943,65+,female,0
820514368838943,65+,unknown,0
820514368838943,25-34,unknown,0
820514368838943,25-34,male,0
820514368838943,18-24,female,0
820514368838943,65+,male,0
820514368838943,18-24,unknown,0
820514368838943,18-24,male,0
820514368838943,25-34,female,0
210146721010447,45-54,unknown,0.001278
210146721010447,55-64,unknown,0.001172
210146721010447,45-54,female,0.199446
210146721010447,45-54,male,0.42638
210146721010447,55-64,female,0.109525
210146721010447,55-64,male,0.262199
210146721010447,65+,female,0
210146721010447,65+,unknown,0
210146721010447,25-34,unknown,0
210146721010447,35-44,female,0
210146721010447,25-34,male,0
210146721010447,18-24,female,0
210146721010447,65+,male,0
210146721010447,35-44,unknown,0
210146721010447,35-44,male,0
210146721010447,18-24,unknown,0
210146721010447,18-24,male,0
210146721010447,25-34,female,0
531865211354144,35-44,female,0.037333
531865211354144,45-54,female,0.049333
531865211354144,65+,female,0.097333
531865211354144,45-54,male,0.136
531865211354144,65+,male,0.14
531865211354144,25-34,female,0.034667
531865211354144,35-44,male,0.066667
531865211354144,18-24,female,0.042667
531865211354144,25-34,male,0.118667
531865211354144,55-64,male,0.128
531865211354144,55-64,female,0.088
531865211354144,18-24,male,0.056
531865211354144,45-54,unknown,0.002667
531865211354144,35-44,unknown,0.001333
531865211354144,25-34,unknown,0.001333
531865211354144,55-64,unknown,0
531865211354144,18-24,unknown,0
531865211354144,65+,unknown,0
344875317212273,35-44,unknown,0.000747
344875317212273,18-24,unknown,0.000249
344875317212273,25-34,unknown,0.000249
344875317212273,18-24,female,0.011958
344875317212273,35-44,male,0.247882
344875317212273,55-64,male,0.090932
344875317212273,25-34,female,0.059542
344875317212273,45-54,male,0.179123
344875317212273,25-34,male,0.224464
344875317212273,35-44,female,0.076233
344875317212273,18-24,male,0.051071
344875317212273,55-64,female,0.017688
344875317212273,45-54,female,0.038615
344875317212273,45-54,unknown,0.001246
344875317212273,65+,male,0
344875317212273,55-64,unknown,0
344875317212273,65+,female,0
344875317212273,65+,unknown,0
329654535415246,45-54,unknown,0.002215
329654535415246,35-44,unknown,0.003322
329654535415246,45-54,male,0.139535
329654535415246,55-64,male,0.140642
329654535415246,35-44,female,0.115172
329654535415246,45-54,female,0.140642
329654535415246,55-64,female,0.127353
329654535415246,25-34,male,0.114064
329654535415246,25-34,female,0.110742
329654535415246,35-44,male,0.106312
329654535415246,65+,female,0
329654535415246,65+,unknown,0
329654535415246,25-34,unknown,0
329654535415246,18-24,female,0
329654535415246,65+,male,0
329654535415246,18-24,unknown,0
329654535415246,18-24,male,0
329654535415246,55-64,unknown,0
501963150918953,18-24,female,0.008439
501963150918953,55-64,female,0.042194
501963150918953,18-24,male,0.050633
501963150918953,45-54,female,0.033755
501963150918953,35-44,female,0.059072
501963150918953,45-54,male,0.185654
501963150918953,25-34,male,0.248945
501963150918953,55-64,male,0.126582
501963150918953,35-44,male,0.168776
501963150918953,25-34,female,0.075949
501963150918953,65+,female,0
501963150918953,65+,unknown,0
501963150918953,25-34,unknown,0
501963150918953,65+,male,0
501963150918953,35-44,unknown,0
501963150918953,18-24,unknown,0
501963150918953,55-64,unknown,0
501963150918953,45-54,unknown,0
505028233886868,25-34,unknown,0.000709
505028233886868,55-64,unknown,0.00078
505028233886868,35-44,female,0.120366
505028233886868,55-64,male,0.118877
505028233886868,35-44,male,0.158007
505028233886868,45-54,female,0.099242
505028233886868,45-54,male,0.143688
505028233886868,55-64,female,0.064294
505028233886868,25-34,male,0.170908
505028233886868,25-34,female,0.121146
505028233886868,45-54,unknown,0.000992
505028233886868,35-44,unknown,0.000992
505028233886868,65+,female,0
505028233886868,65+,unknown,0
505028233886868,18-24,female,0
505028233886868,65+,male,0
505028233886868,18-24,unknown,0
505028233886868,18-24,male,0
4032090526876129,35-44,unknown,0.000961
4032090526876129,45-54,unknown,0.001345
4032090526876129,55-64,unknown,0.000961
4032090526876129,35-44,male,0.195773
4032090526876129,45-54,male,0.389433
4032090526876129,35-44,female,0.054371
4032090526876129,55-64,male,0.202305
4032090526876129,45-54,female,0.102017
4032090526876129,55-64,female,0.052834
4032090526876129,65+,female,0
4032090526876129,65+,unknown,0
4032090526876129,25-34,unknown,0
4032090526876129,25-34,male,0
4032090526876129,18-24,female,0
4032090526876129,65+,male,0
4032090526876129,18-24,unknown,0
4032090526876129,18-24,male,0
4032090526876129,25-34,female,0
398087694963091,18-24,female,0.014493
398087694963091,45-54,unknown,0.004831
398087694963091,55-64,unknown,0.004831
398087694963091,25-34,female,0.067633
398087694963091,18-24,male,0.077295
398087694963091,35-44,female,0.111111
398087694963091,45-54,male,0.130435
398087694963091,35-44,male,0.140097
398087694963091,55-64,female,0.057971
398087694963091,25-34,male,0.164251
398087694963091,45-54,female,0.096618
398087694963091,55-64,male,0.130435
398087694963091,65+,female,0
398087694963091,65+,unknown,0
398087694963091,25-34,unknown,0
398087694963091,65+,male,0
398087694963091,35-44,unknown,0
398087694963091,18-24,unknown,0
240835367607073,35-44,unknown,0.000967
240835367607073,45-54,unknown,0.001693
240835367607073,25-34,unknown,0.001935
240835367607073,35-44,male,0.120919
240835367607073,55-64,female,0.092624
240835367607073,55-64,male,0.135429
240835367607073,25-34,male,0.198307
240835367607073,25-34,female,0.129867
240835367607073,35-44,female,0.096252
240835367607073,45-54,female,0.092866
240835367607073,45-54,male,0.128174
240835367607073,55-64,unknown,0.000967
240835367607073,65+,female,0
240835367607073,65+,unknown,0
240835367607073,18-24,female,0
240835367607073,65+,male,0
240835367607073,18-24,unknown,0
240835367607073,18-24,male,0
514824089764451,45-54,female,0.03733
514824089764451,25-34,female,0.078966
514824089764451,55-64,female,0.025126
514824089764451,18-24,male,0.054917
514824089764451,45-54,male,0.150395
514824089764451,55-64,male,0.091529
514824089764451,35-44,female,0.053482
514824089764451,35-44,male,0.205671
514824089764451,25-34,male,0.283202
514824089764451,18-24,female,0.018306
514824089764451,45-54,unknown,0.000718
514824089764451,35-44,unknown,0.000359
514824089764451,65+,female,0
514824089764451,65+,unknown,0
514824089764451,25-34,unknown,0
514824089764451,65+,male,0
514824089764451,18-24,unknown,0
514824089764451,55-64,unknown,0
1788787457996489,45-54,unknown,0.004184
1788787457996489,35-44,unknown,0.002092
1788787457996489,25-34,female,0.156904
1788787457996489,55-64,female,0.127615
1788787457996489,55-64,male,0.125523
1788787457996489,45-54,male,0.123431
1788787457996489,25-34,male,0.121339
1788787457996489,45-54,female,0.148536
1788787457996489,35-44,male,0.085774
1788787457996489,35-44,female,0.104603
1788787457996489,65+,female,0
1788787457996489,65+,unknown,0
1788787457996489,25-34,unknown,0
1788787457996489,18-24,female,0
1788787457996489,65+,male,0
1788787457996489,18-24,unknown,0
1788787457996489,18-24,male,0
1788787457996489,55-64,unknown,0
914179409444505,35-44,unknown,0.00237
914179409444505,55-64,unknown,0.000592
914179409444505,18-24,female,0.013626
914179409444505,45-54,unknown,0.001777
914179409444505,25-34,unknown,0.001777
914179409444505,25-34,female,0.07109
914179409444505,25-34,male,0.130628
914179409444505,35-44,male,0.162322
914179409444505,18-24,male,0.02577
914179409444505,35-44,female,0.087678
914179409444505,45-54,male,0.191351
914179409444505,55-64,male,0.12263
914179409444505,45-54,female,0.118483
914179409444505,55-64,female,0.069905
914179409444505,65+,male,0
914179409444505,65+,female,0
914179409444505,18-24,unknown,0
914179409444505,65+,unknown,0
2887042101605846,18-24,unknown,4.7E-5
2887042101605846,45-54,unknown,0.001258
2887042101605846,25-34,unknown,0.000838
2887042101605846,35-44,unknown,0.001584
2887042101605846,55-64,unknown,0.000745
2887042101605846,25-34,female,0.084777
2887042101605846,18-24,male,0.032141
2887042101605846,25-34,male,0.155208
2887042101605846,35-44,female,0.094885
2887042101605846,35-44,male,0.161683
2887042101605846,55-64,male,0.125396
2887042101605846,45-54,male,0.167505
2887042101605846,45-54,female,0.094885
2887042101605846,55-64,female,0.059391
2887042101605846,18-24,female,0.019657
2887042101605846,65+,male,0
2887042101605846,65+,female,0
2887042101605846,65+,unknown,0
570374880620516,25-34,unknown,0.001712
570374880620516,45-54,unknown,0.000951
570374880620516,25-34,female,0.076455
570374880620516,55-64,female,0.065804
570374880620516,25-34,male,0.171358
570374880620516,55-64,male,0.177634
570374880620516,35-44,male,0.160327
570374880620516,45-54,male,0.181818
570374880620516,45-54,female,0.082921
570374880620516,35-44,female,0.078547
570374880620516,55-64,unknown,0.001712
570374880620516,35-44,unknown,0.000761
570374880620516,65+,female,0
570374880620516,65+,unknown,0
570374880620516,18-24,female,0
570374880620516,65+,male,0
570374880620516,18-24,unknown,0
570374880620516,18-24,male,0
865448334321407,35-44,unknown,0.003953
865448334321407,45-54,unknown,0.003953
865448334321407,55-64,male,0.16996
865448334321407,55-64,female,0.114625
865448334321407,35-44,female,0.106719
865448334321407,45-54,female,0.110672
865448334321407,35-44,male,0.118577
865448334321407,45-54,male,0.162055
865448334321407,25-34,female,0.079051
865448334321407,25-34,male,0.126482
865448334321407,25-34,unknown,0.003953
865448334321407,65+,female,0
865448334321407,65+,unknown,0
865448334321407,18-24,female,0
865448334321407,65+,male,0
865448334321407,18-24,unknown,0
865448334321407,18-24,male,0
865448334321407,55-64,unknown,0
1551288078544497,45-54,unknown,0.001634
1551288078544497,25-34,unknown,0.001634
1551288078544497,18-24,female,0.019608
1551288078544497,45-54,female,0.071895
1551288078544497,18-24,male,0.052288
1551288078544497,25-34,male,0.20915
1551288078544497,25-34,female,0.083333
1551288078544497,55-64,male,0.153595
1551288078544497,35-44,male,0.161765
1551288078544497,45-54,male,0.148693
1551288078544497,55-64,female,0.039216
1551288078544497,35-44,female,0.052288
1551288078544497,55-64,unknown,0.003268
1551288078544497,35-44,unknown,0.001634
1551288078544497,65+,male,0
1551288078544497,65+,female,0
1551288078544497,18-24,unknown,0
1551288078544497,65+,unknown,0
502977940959540,55-64,unknown,0.000643
502977940959540,55-64,female,0.194109
502977940959540,45-54,female,0.055385
502977940959540,65+,female,0.320679
502977940959540,55-64,male,0.133195
502977940959540,65+,male,0.246348
502977940959540,45-54,male,0.048164
502977940959540,65+,unknown,0.001001
502977940959540,45-54,unknown,0.000477
502977940959540,25-34,unknown,0
502977940959540,35-44,female,0
502977940959540,25-34,male,0
502977940959540,18-24,female,0
502977940959540,35-44,unknown,0
502977940959540,35-44,male,0
502977940959540,18-24,unknown,0
502977940959540,18-24,male,0
502977940959540,25-34,female,0
607660993890600,55-64,unknown,0.000867
607660993890600,45-54,unknown,0.001288
607660993890600,35-44,unknown,0.000817
607660993890600,55-64,female,0.080825
607660993890600,55-64,male,0.258205
607660993890600,45-54,female,0.129747
607660993890600,45-54,male,0.343093
607660993890600,35-44,male,0.134255
607660993890600,35-44,female,0.050903
607660993890600,65+,female,0
607660993890600,65+,unknown,0
607660993890600,25-34,unknown,0
