ad_id,age,gender,percentage
1249988592138749,65+,female,0.021882
1249988592138749,55-64,female,0.063457
1249988592138749,35-44,female,0.073304
1249988592138749,18-24,female,0.0186
1249988592138749,55-64,male,0.033917
1249988592138749,45-54,male,0.094092
1249988592138749,45-54,female,0.065646
1249988592138749,18-24,male,0.091904
1249988592138749,25-34,male,0.28337
1249988592138749,35-44,male,0.16849
1249988592138749,65+,male,0.021882
1249988592138749,25-34,female,0.063457
1249988592138749,18-24,unknown,0
1249988592138749,35-44,unknown,0
1249988592138749,45-54,unknown,0
1249988592138749,25-34,unknown,0
1249988592138749,55-64,unknown,0
1249988592138749,65+,unknown,0
2810064679062986,55-64,male,0.117465
2810064679062986,35-44,male,0.07728
2810064679062986,45-54,male,0.127357
2810064679062986,35-44,female,0.157342
2810064679062986,45-54,female,0.26677
2810064679062986,55-64,female,0.252241
2810064679062986,45-54,unknown,0.001236
2810064679062986,55-64,unknown,0.000309
2810064679062986,18-24,unknown,0
2810064679062986,35-44,unknown,0
2810064679062986,25-34,male,0
2810064679062986,25-34,female,0
2810064679062986,65+,male,0
2810064679062986,25-34,unknown,0
2810064679062986,18-24,male,0
2810064679062986,65+,female,0
2810064679062986,65+,unknown,0
2810064679062986,18-24,female,0
