ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,demographic_distribution,funding_entity,impressions_min,spend_min,spend_max,ad_url,currency
525463248697745,107145984970498,Kavels Amsterdam,Vanwege een tekort aan huizen bouwt Amsterdam nu en in de komende jaren duizenden woningen. Amsterdam-Noord biedt een oplossing aangezien daar meer ruimte is om te bouwen dan in andere delen van de stad.,fb.me,,Koop een Kavel Amsterdam!,2021-07-19,2021-07-23,"[{'percentage': '0.623288', 'age': '45-54', 'gender': 'male', 'ad_id': '525463248697745'}, {'percentage': '0.320548', 'age': '35-44', 'gender': 'male', 'ad_id': '525463248697745'}, {'percentage': '0.056164', 'age': '55-64', 'gender': 'male', 'ad_id': '525463248697745'}]",Kavels Amsterdam,1000,0,99,https://www.facebook.com/ads/library/?id=525463248697745,EUR
311189277059439,208032132579030,PvdA Groningen,"Van wie is Groningen als beleggers woningen opkopen, waardoor steeds minder stadjers en studenten betaalbare woonruimte kunnen vinden? En hoe winnen we de stad terug? Daar praten we graag met jou over op 27 mei om 19:30 in onze digitale bijeenkomst. 

Praat mee! Wij willen graag jouw input voor ons verkiezingsprogramma voor de komende gemeenteraadsverkiezingen.",De toekomst van Grunn: Van wie is de stad?,"De wooncrisis zet door en zorgt voor grote problemen. Dat geldt zeker voor Groningen. Groningers staan lang in de wacht voor een sociale huurwoning. Jongeren vinden moeizaam een kamer en betalen daar vaak de hoofdprijs voor. Middeninkomens zien de weinige huizen die te koop staan soms wel met een ton overboden worden en vinden het steeds lastiger om in de gemeente te blijven wonen. 

Hoe herwinnen we als gemeente de openbare ruimte? De scheefgroei in de volkshuisvesting roept de vraag op van wie de stad nou eigenlijk is. Op 27 mei gaan we van 19:30 tot 20:30 graag online in gesprek met jou over de toekomst van Grunn. Dat doen we in een tweede bijeenkomst om input op te halen voor het PvdA-verkiezingsprogramma voor de aankomende gemeenteraadsverkiezingen. We hebben interessante sprekers als universitair docent Barend Wind én horen vooral ook graag jouw mening!

Iedereen is welkom. Deelnemen kan via de volgende Google Meet-link: meet.google.com/wyv-zytv-hyu",De toekomst van Grunn: Van wie is de stad?,2021-05-19,2021-05-27,"[{'percentage': '0.002825', 'age': '65+', 'gender': 'unknown', 'ad_id': '311189277059439'}, {'percentage': '0.095104', 'age': '45-54', 'gender': 'female', 'ad_id': '311189277059439'}, {'percentage': '0.000942', 'age': '18-24', 'gender': 'unknown', 'ad_id': '311189277059439'}, {'percentage': '0.002354', 'age': '45-54', 'gender': 'unknown', 'ad_id': '311189277059439'}, {'percentage': '0.003296', 'age': '25-34', 'gender': 'unknown', 'ad_id': '311189277059439'}, {'percentage': '0.001883', 'age': '35-44', 'gender': 'unknown', 'ad_id': '311189277059439'}, {'percentage': '0.066855', 'age': '35-44', 'gender': 'male', 'ad_id': '311189277059439'}, {'percentage': '0.127589', 'age': '65+', 'gender': 'male', 'ad_id': '311189277059439'}, {'percentage': '0.032486', 'age': '18-24', 'gender': 'male', 'ad_id': '311189277059439'}, {'percentage': '0.050377', 'age': '25-34', 'gender': 'female', 'ad_id': '311189277059439'}, {'percentage': '0.058851', 'age': '35-44', 'gender': 'female', 'ad_id': '311189277059439'}, {'percentage': '0.09887', 'age': '45-54', 'gender': 'male', 'ad_id': '311189277059439'}, {'percentage': '0.065443', 'age': '25-34', 'gender': 'male', 'ad_id': '311189277059439'}, {'percentage': '0.12806', 'age': '55-64', 'gender': 'female', 'ad_id': '311189277059439'}, {'percentage': '0.11064', 'age': '55-64', 'gender': 'male', 'ad_id': '311189277059439'}, {'percentage': '0.12806', 'age': '65+', 'gender': 'female', 'ad_id': '311189277059439'}, {'percentage': '0.02307', 'age': '18-24', 'gender': 'female', 'ad_id': '311189277059439'}, {'percentage': '0.003296', 'age': '55-64', 'gender': 'unknown', 'ad_id': '311189277059439'}]",PvdA Groningen,5000,0,99,https://www.facebook.com/ads/library/?id=311189277059439,EUR
136518665080299,1561655447470490,PvdA Beverwijk-Wijk aan Zee,"Voorrang voor eigen inwoners bij nieuwbouwwoningen
De PvdA Beverwijk en Heemskerk maken zich zorgen over de vele starters in Beverwijk/Wijk aan Zee en Heemskerk, die geen woning kunnen vinden. Sociale huurwoningen zijn alleen beschikbaar voor mensen met lagere inkomens. De doorstroom stagneert, doordat steeds meer mensen uit de regio Zuid-Kennemerland woningen krijgen toegewezen in Beverwijk en Heemskerk. Wachttijden lopen op tot boven de zes jaar. De mensen met middeninkomens vissen sowieso telkens achter het net. Zij komen niet in aanmerking voor een sociale huurwoning en vrije sector huur is voor hen vaak veel te duur. Ook zijn er te weinig betaalbare beschikbare koopwoningen, die op de koopmarkt komen. En komt een betaalbaar huis te koop, dan worden deze huizen steeds vaker gekocht door mensen, die flink overbieden. Hierdoor is het ondertussen voor steeds meer inwoners onmogelijk geworden een (koop)woning te bemachtigen. Een zorgelijke ontwikkeling.
Dat betekent echter niet dat de gemeente niets kan doen om inwoners, die smachten naar een woning te helpen! Dat kan wel degelijk en is in het verleden ook gebeurd.
In het verleden (eind jaren negentig) werden in Beverwijk bij nieuwbouwprojecten voor koopwoningen soms eisen gesteld bij verkoop door makelaars . Huurders, die uit een sociale huurwoning kwamen, hadden voorrang op andere gegadigden. De woningen, die overbleven, kwamen beschikbaar voor mensen, die het langst ingeschreven stonden bij de gemeente.
Een voorbeeld van zo’n project was het project Cetabever( gebouwd in 1997/1998). Op de plek van de voormalige Cetabever fabriek werd, na grondige sanering van de grond, een fors woonblok rond de Grote Houtweg en Eenhoornlaan uit de grond gestampt. De gemeente heeft toen duidelijke kaders meegegeven aan de verkopende makelaar, om de volgorde van gunning van de woningen te kunnen bepalen.
Waarom de gemeente hier later van afgestapt is, is ons niet bekend. Maar in die tijd werd de wijk Broekpolder ontwikkeld, die voorzag in de grote woningbehoefte van Beverwijkers en Heemskerkers en die van de regio. Huur en koop door elkaar. Jarenlang was er geen probleem.
In 2021 is de woningmarkt vrijwel opgedroogd. Inwoners snakken naar een woning. Het is dus tijd voor actie!
In de Beverwijkse en Heemskerkse gemeenteraad zijn er de laatste jaren veel zorgen over de inwoners uit Zuid-Kennemerland, die hier de woningmarkt overspoelen. Niet dat die mensen niet welkom zijn, maar het beperkt enorm de mogelijkheden voor onze eigen inwoners. De koopwoningen, die een aantal jaren geleden nog voor veel inwoners met een laag- of midden inkomen beschikbaar waren, zijn dat nu niet meer.
In andere gemeentes zijn de laatste jaren steeds vaker selectiecriteria bij nieuwbouw koopwoningen opgesteld. Soms wordt dit geregeld in een aparte doelgroepenverordening, soms ook krijgt het een plaats in de huisvestingsverordening. Zo is het mogelijk gebleken de eigen inwoners meer kans te bieden op hun droomwoning. Ook brengt dit doorstroming bij sociale huurwoningen op gang. Er kan ook gekeken gaan worden naar voorrang bij nieuwbouw van sociale huurwoningen. Misschien is daar ook meer mogelijk dan we nu denken. De colleges worden opgeroepen naar alle mogelijkheden te kijken om de woningmarkt intern vlot te trekken.
Daarom gaan de PvdA fracties Beverwijk en Heemskerk in april een motie indienen in beide gemeenteraden om het mogelijk te maken inwoners van onze gemeente voortaan voorrang te geven bij goedkope- ( minder dan €225.000) en middeldure (minder dan €325.000 koopwoningen. Ook wordt gevraagd te kijken naar een anti-speculatiebeding, waardoor deze woningen ook in de toekomst beschikbaar blijven voor de doelgroep. En er wordt opgeroepen om te kijken naar mogelijkheden bij nieuwbouw sociale huurwoningen. Als we nu de juiste stappen nemen, komt de interne woningmarkt weer op gang en vinden meer inwoners een echt thuis in Beverwijk, Wijk aan Zee of Heemskerk.",,,,2021-04-02,2021-04-03,"[{'percentage': '0.057895', 'age': '45-54', 'gender': 'female', 'ad_id': '136518665080299'}, {'percentage': '0.078947', 'age': '35-44', 'gender': 'male', 'ad_id': '136518665080299'}, {'percentage': '0.094737', 'age': '55-64', 'gender': 'male', 'ad_id': '136518665080299'}, {'percentage': '0.036842', 'age': '25-34', 'gender': 'male', 'ad_id': '136518665080299'}, {'percentage': '0.147368', 'age': '55-64', 'gender': 'female', 'ad_id': '136518665080299'}, {'percentage': '0.189474', 'age': '65+', 'gender': 'female', 'ad_id': '136518665080299'}, {'percentage': '0.168421', 'age': '65+', 'gender': 'male', 'ad_id': '136518665080299'}, {'percentage': '0.042105', 'age': '35-44', 'gender': 'female', 'ad_id': '136518665080299'}, {'percentage': '0.031579', 'age': '18-24', 'gender': 'male', 'ad_id': '136518665080299'}, {'percentage': '0.084211', 'age': '45-54', 'gender': 'male', 'ad_id': '136518665080299'}, {'percentage': '0.042105', 'age': '25-34', 'gender': 'female', 'ad_id': '136518665080299'}, {'percentage': '0.026316', 'age': '18-24', 'gender': 'female', 'ad_id': '136518665080299'}]",PvdA Beverwijk,0,0,99,https://www.facebook.com/ads/library/?id=136518665080299,EUR
461146175206312,1561655447470490,PvdA Beverwijk-Wijk aan Zee,"Voorrang voor eigen inwoners bij nieuwbouwwoningen
De PvdA Beverwijk en Heemskerk maken zich zorgen over de vele starters in Beverwijk/Wijk aan Zee en Heemskerk, die geen woning kunnen vinden. Sociale huurwoningen zijn alleen beschikbaar voor mensen met lagere inkomens. De doorstroom stagneert, doordat steeds meer mensen uit de regio Zuid-Kennemerland woningen krijgen toegewezen in Beverwijk en Heemskerk. Wachttijden lopen op tot boven de zes jaar. De mensen met middeninkomens vissen sowieso telkens achter het net. Zij komen niet in aanmerking voor een sociale huurwoning en vrije sector huur is voor hen vaak veel te duur. Ook zijn er te weinig betaalbare beschikbare koopwoningen, die op de koopmarkt komen. En komt een betaalbaar huis te koop, dan worden deze huizen steeds vaker gekocht door mensen, die flink overbieden. Hierdoor is het ondertussen voor steeds meer inwoners onmogelijk geworden een (koop)woning te bemachtigen. Een zorgelijke ontwikkeling.
Dat betekent echter niet dat de gemeente niets kan doen om inwoners, die smachten naar een woning te helpen! Dat kan wel degelijk en is in het verleden ook gebeurd.
In het verleden (eind jaren negentig) werden in Beverwijk bij nieuwbouwprojecten voor koopwoningen soms eisen gesteld bij verkoop door makelaars . Huurders, die uit een sociale huurwoning kwamen, hadden voorrang op andere gegadigden. De woningen, die overbleven, kwamen beschikbaar voor mensen, die het langst ingeschreven stonden bij de gemeente.
Een voorbeeld van zo’n project was het project Cetabever( gebouwd in 1997/1998). Op de plek van de voormalige Cetabever fabriek werd, na grondige sanering van de grond, een fors woonblok rond de Grote Houtweg en Eenhoornlaan uit de grond gestampt. De gemeente heeft toen duidelijke kaders meegegeven aan de verkopende makelaar, om de volgorde van gunning van de woningen te kunnen bepalen.
Waarom de gemeente hier later van afgestapt is, is ons niet bekend. Maar in die tijd werd de wijk Broekpolder ontwikkeld, die voorzag in de grote woningbehoefte van Beverwijkers en Heemskerkers en die van de regio. Huur en koop door elkaar. Jarenlang was er geen probleem.
In 2021 is de woningmarkt vrijwel opgedroogd. Inwoners snakken naar een woning. Het is dus tijd voor actie!
In de Beverwijkse en Heemskerkse gemeenteraad zijn er de laatste jaren veel zorgen over de inwoners uit Zuid-Kennemerland, die hier de woningmarkt overspoelen. Niet dat die mensen niet welkom zijn, maar het beperkt enorm de mogelijkheden voor onze eigen inwoners. De koopwoningen, die een aantal jaren geleden nog voor veel inwoners met een laag- of midden inkomen beschikbaar waren, zijn dat nu niet meer.
In andere gemeentes zijn de laatste jaren steeds vaker selectiecriteria bij nieuwbouw koopwoningen opgesteld. Soms wordt dit geregeld in een aparte doelgroepenverordening, soms ook krijgt het een plaats in de huisvestingsverordening. Zo is het mogelijk gebleken de eigen inwoners meer kans te bieden op hun droomwoning. Ook brengt dit doorstroming bij sociale huurwoningen op gang. Er kan ook gekeken gaan worden naar voorrang bij nieuwbouw van sociale huurwoningen. Misschien is daar ook meer mogelijk dan we nu denken. De colleges worden opgeroepen naar alle mogelijkheden te kijken om de woningmarkt intern vlot te trekken.
Daarom gaan de PvdA fracties Beverwijk en Heemskerk in april een motie indienen in beide gemeenteraden om het mogelijk te maken inwoners van onze gemeente voortaan voorrang te geven bij goedkope- ( minder dan €225.000) en middeldure (minder dan €325.000 koopwoningen. Ook wordt gevraagd te kijken naar een anti-speculatiebeding, waardoor deze woningen ook in de toekomst beschikbaar blijven voor de doelgroep. En er wordt opgeroepen om te kijken naar mogelijkheden bij nieuwbouw sociale huurwoningen. Als we nu de juiste stappen nemen, komt de interne woningmarkt weer op gang en vinden meer inwoners een echt thuis in Beverwijk, Wijk aan Zee of Heemskerk.",,,,2021-04-02,2021-04-16,"[{'percentage': '0.000482', 'age': '65+', 'gender': 'unknown', 'ad_id': '461146175206312'}, {'percentage': '0.000964', 'age': '25-34', 'gender': 'unknown', 'ad_id': '461146175206312'}, {'percentage': '0.000482', 'age': '35-44', 'gender': 'unknown', 'ad_id': '461146175206312'}, {'percentage': '0.103133', 'age': '45-54', 'gender': 'female', 'ad_id': '461146175206312'}, {'percentage': '0.058795', 'age': '25-34', 'gender': 'female', 'ad_id': '461146175206312'}, {'percentage': '0.049157', 'age': '35-44', 'gender': 'male', 'ad_id': '461146175206312'}, {'percentage': '0.090602', 'age': '45-54', 'gender': 'male', 'ad_id': '461146175206312'}, {'percentage': '0.160964', 'age': '55-64', 'gender': 'female', 'ad_id': '461146175206312'}, {'percentage': '0.112771', 'age': '65+', 'gender': 'male', 'ad_id': '461146175206312'}, {'percentage': '0.053494', 'age': '25-34', 'gender': 'male', 'ad_id': '461146175206312'}, {'percentage': '0.020241', 'age': '18-24', 'gender': 'female', 'ad_id': '461146175206312'}, {'percentage': '0.171084', 'age': '65+', 'gender': 'female', 'ad_id': '461146175206312'}, {'percentage': '0.09253', 'age': '55-64', 'gender': 'male', 'ad_id': '461146175206312'}, {'percentage': '0.06747', 'age': '35-44', 'gender': 'female', 'ad_id': '461146175206312'}, {'percentage': '0.017831', 'age': '18-24', 'gender': 'male', 'ad_id': '461146175206312'}]",PvdA Beverwijk,4000,0,99,https://www.facebook.com/ads/library/?id=461146175206312,EUR
1133500240432308,555679867783372,SP Bernheze,"Jody: Waarom ik SP stem op 17 maart 

Op 17 maart gaat Nederland stemmen voor een nieuwe Tweede Kamer. Een stem op de SP is een prima stem. De SP is mijn partij en is een partij voor de mensen. Ook voor jongeren die op zoek zijn naar een huis. De huizenmarkt is helemaal van streek. Jongeren zijn kansloos. Dat gaat veranderen met een sterke SP. Daarom is 17 maart zo belangrijk voor jongeren. Ga naar de stembus en stem SP voor een betaalbaar huis bij jou in de buurt.

Jongeren en betaalbare huizen
De VVD regering van Rutte heeft de woningmarkt totaal naar de knoppen geholpen. Jongeren komen niet aan de bak. Prijzen rijzen de pan uit en de huur is onbetaalbaar. De woningmarkt is in handen van speculanten en huisjesmelkers. Komt er een woning te koop, dan moet je grof overbieden op de vraagprijs. Zo niet, dan gaat het huis naar een speculant die het gaat uitmelken. Dat betekent: voor grof geld verhuren na er eerst twee woningen van gemaakt te hebben. Daar maakt de SP een einde aan, als er voldoende mensen op 17 maart op de SP stemmen. Dan heeft iedereen de kans om de komende 4 jaar een plek op de woningmarkt te vinden. Speculanten buitenspel zetten. Jongeren een betaalbare woning bieden in de eigen omgeving. Ook voor Bernheze is dat van groot belang. Geld verdienen is prima, maar niet over de rug van jongeren en andere mensen die op zoek zijn naar een huis. Voor meer informatie: https://www.sp.nl/programma2021/land-om-te-wonen 

Jody Samuëls
SP Bernheze Ruimtelijke Zaken",,,,2021-03-15,2021-03-15,"[{'percentage': '0.008772', 'age': '55-64', 'gender': 'female', 'ad_id': '1133500240432308'}, {'percentage': '0.008772', 'age': '25-34', 'gender': 'unknown', 'ad_id': '1133500240432308'}, {'percentage': '0.087719', 'age': '35-44', 'gender': 'male', 'ad_id': '1133500240432308'}, {'percentage': '0.27193', 'age': '65+', 'gender': 'male', 'ad_id': '1133500240432308'}, {'percentage': '0.078947', 'age': '65+', 'gender': 'female', 'ad_id': '1133500240432308'}, {'percentage': '0.052632', 'age': '18-24', 'gender': 'male', 'ad_id': '1133500240432308'}, {'percentage': '0.157895', 'age': '55-64', 'gender': 'male', 'ad_id': '1133500240432308'}, {'percentage': '0.184211', 'age': '45-54', 'gender': 'male', 'ad_id': '1133500240432308'}, {'percentage': '0.122807', 'age': '25-34', 'gender': 'male', 'ad_id': '1133500240432308'}, {'percentage': '0.017544', 'age': '45-54', 'gender': 'female', 'ad_id': '1133500240432308'}, {'percentage': '0.008772', 'age': '25-34', 'gender': 'female', 'ad_id': '1133500240432308'}]",Jan Van Den Broek,0,0,99,https://www.facebook.com/ads/library/?id=1133500240432308,EUR
1181052305687008,175740570505,GroenLinks,"Dit is tien jaar rechts beleid in actie. 😱

Woningen worden opgekocht door rijke beleggers en vervolgens voor astronomische prijzen verhuurd. Zo wordt betaalbaar wonen onbereikbaar voor veel mensen.

Met onze plannen zorgen we voor betaalbare woning voor iedere Nederlander: groen.li/wonen/fbgl",,,,2021-03-14,2021-03-15,"[{'percentage': '0.000397', 'age': '55-64', 'gender': 'unknown', 'ad_id': '1181052305687008'}, {'percentage': '0.001891', 'age': '35-44', 'gender': 'unknown', 'ad_id': '1181052305687008'}, {'percentage': '0.001301', 'age': '25-34', 'gender': 'unknown', 'ad_id': '1181052305687008'}, {'percentage': '0.07529', 'age': '55-64', 'gender': 'female', 'ad_id': '1181052305687008'}, {'percentage': '0.106517', 'age': '45-54', 'gender': 'female', 'ad_id': '1181052305687008'}, {'percentage': '0.171428', 'age': '25-34', 'gender': 'female', 'ad_id': '1181052305687008'}, {'percentage': '0.144957', 'age': '35-44', 'gender': 'male', 'ad_id': '1181052305687008'}, {'percentage': '0.136627', 'age': '35-44', 'gender': 'female', 'ad_id': '1181052305687008'}, {'percentage': '0.178246', 'age': '25-34', 'gender': 'male', 'ad_id': '1181052305687008'}, {'percentage': '0.11124', 'age': '45-54', 'gender': 'male', 'ad_id': '1181052305687008'}, {'percentage': '0.071019', 'age': '55-64', 'gender': 'male', 'ad_id': '1181052305687008'}, {'percentage': '0.001089', 'age': '45-54', 'gender': 'unknown', 'ad_id': '1181052305687008'}]",GroenLinks,200000,500,599,https://www.facebook.com/ads/library/?id=1181052305687008,EUR
178559940460843,759417477428801,PvdA Zeeland,"VOOR MEER BETAALBARE WONINGEN: PVDA!!!
In steeds meer plaatsen in Zeeland is geen betaalbaar huis meer te vinden. In Cadzand vind je als starter niets, en in Breskens wordt alleen gebouwd voor de toeristen en de superrijken. De PvdA wil meer betaalbare huizen, huur en koop. Een premie voor starters. Een rem op tweede woningen. Stem daarvoor op 17 maart PvdA. Op onze Zeeuwse kandidaat Barbara Oomen, #20.",www.barbaraoomen.nl,,,2021-02-28,2021-03-03,"[{'percentage': '0.00015', 'age': '18-24', 'gender': 'unknown', 'ad_id': '178559940460843'}, {'percentage': '0.09464', 'age': '55-64', 'gender': 'female', 'ad_id': '178559940460843'}, {'percentage': '0.000299', 'age': '55-64', 'gender': 'unknown', 'ad_id': '178559940460843'}, {'percentage': '0.04134', 'age': '18-24', 'gender': 'female', 'ad_id': '178559940460843'}, {'percentage': '0.079166', 'age': '25-34', 'gender': 'female', 'ad_id': '178559940460843'}, {'percentage': '0.095313', 'age': '35-44', 'gender': 'male', 'ad_id': '178559940460843'}, {'percentage': '0.106003', 'age': '25-34', 'gender': 'male', 'ad_id': '178559940460843'}, {'percentage': '0.050908', 'age': '18-24', 'gender': 'male', 'ad_id': '178559940460843'}, {'percentage': '0.077671', 'age': '35-44', 'gender': 'female', 'ad_id': '178559940460843'}, {'percentage': '0.000523', 'age': '35-44', 'gender': 'unknown', 'ad_id': '178559940460843'}, {'percentage': '0.000449', 'age': '65+', 'gender': 'unknown', 'ad_id': '178559940460843'}, {'percentage': '0.095313', 'age': '65+', 'gender': 'female', 'ad_id': '178559940460843'}, {'percentage': '0.082081', 'age': '55-64', 'gender': 'male', 'ad_id': '178559940460843'}, {'percentage': '0.092547', 'age': '45-54', 'gender': 'female', 'ad_id': '178559940460843'}, {'percentage': '0.109292', 'age': '45-54', 'gender': 'male', 'ad_id': '178559940460843'}, {'percentage': '0.073858', 'age': '65+', 'gender': 'male', 'ad_id': '178559940460843'}, {'percentage': '0.000299', 'age': '45-54', 'gender': 'unknown', 'ad_id': '178559940460843'}, {'percentage': '0.00015', 'age': '25-34', 'gender': 'unknown', 'ad_id': '178559940460843'}]",Partij van de Arbeid,20000,200,299,https://www.facebook.com/ads/library/?id=178559940460843,EUR
168965398325126,504176193038156,VVD Stede Broec,"Een woning koop je om er in te wonen! Er worden op dit moment veel huizen in onze gemeente opgekocht door investeerders om verhuurt te worden aan bijvoorbeeld arbeidsmigranten. Dit gaat ten koste van o.a. starters die aan hun eerste huis willen beginnen. De VVD vindt dit, vooral gezien de huidige krapte op de huizenmarkt, geen wenselijke ontwikkeling. 🏘

Stelling: Stede Broec moet een woonplicht invoeren binnen de bebouwde kom. ⬇",,,,2021-02-08,2021-02-11,"[{'percentage': '0.00067', 'age': '25-34', 'gender': 'unknown', 'ad_id': '168965398325126'}, {'percentage': '0.018084', 'age': '65+', 'gender': 'male', 'ad_id': '168965398325126'}, {'percentage': '0.132619', 'age': '25-34', 'gender': 'male', 'ad_id': '168965398325126'}, {'percentage': '0.020764', 'age': '65+', 'gender': 'female', 'ad_id': '168965398325126'}, {'percentage': '0.00134', 'age': '45-54', 'gender': 'unknown', 'ad_id': '168965398325126'}, {'percentage': '0.113865', 'age': '25-34', 'gender': 'female', 'ad_id': '168965398325126'}, {'percentage': '0.054923', 'age': '35-44', 'gender': 'female', 'ad_id': '168965398325126'}, {'percentage': '0.036839', 'age': '55-64', 'gender': 'male', 'ad_id': '168965398325126'}, {'percentage': '0.068989', 'age': '45-54', 'gender': 'male', 'ad_id': '168965398325126'}, {'percentage': '0.073007', 'age': '45-54', 'gender': 'female', 'ad_id': '168965398325126'}, {'percentage': '0.152713', 'age': '18-24', 'gender': 'male', 'ad_id': '168965398325126'}, {'percentage': '0.067649', 'age': '35-44', 'gender': 'male', 'ad_id': '168965398325126'}, {'percentage': '0.047555', 'age': '55-64', 'gender': 'female', 'ad_id': '168965398325126'}, {'percentage': '0.210985', 'age': '18-24', 'gender': 'female', 'ad_id': '168965398325126'}]",VVD Stede Broec,2000,0,99,https://www.facebook.com/ads/library/?id=168965398325126,EUR
1880069785494229,132843257179595,D66 Rijswijk,"Vrijheid is een huis vinden dat bij je past!

Er is grote woningnood. Ook in Rijswijk. Er zijn te weinig woningen voor starters, voor harde werkers met een normaal salaris en voor senioren die kleiner willen gaan wonen. Daarom moeten we bouwen: middenhuur en betaalbare koop!

D66 Rijswijk is voor bouwen in het stedelijk gebied. Hiermee wordt meteen de leegstand van winkels en kantoren opgelost.

D66 minister Kajsa Ollongren (BZK) is het hiermee eens en heeft Rijswijk ruim 7 miljoen euro gegeven om betaalbare woningen te bouwen in het nieuwe Stadscentrum Bogaard.",,,,2021-01-29,2021-02-18,"[{'percentage': '0.000869', 'age': '25-34', 'gender': 'unknown', 'ad_id': '1880069785494229'}, {'percentage': '0.148218', 'age': '25-34', 'gender': 'male', 'ad_id': '1880069785494229'}, {'percentage': '0.001014', 'age': '45-54', 'gender': 'unknown', 'ad_id': '1880069785494229'}, {'percentage': '0.000362', 'age': '65+', 'gender': 'unknown', 'ad_id': '1880069785494229'}, {'percentage': '0.046726', 'age': '65+', 'gender': 'female', 'ad_id': '1880069785494229'}, {'percentage': '0.056868', 'age': '18-24', 'gender': 'male', 'ad_id': '1880069785494229'}, {'percentage': '0.032237', 'age': '65+', 'gender': 'male', 'ad_id': '1880069785494229'}, {'percentage': '0.074906', 'age': '18-24', 'gender': 'female', 'ad_id': '1880069785494229'}, {'percentage': '0.130832', 'age': '25-34', 'gender': 'female', 'ad_id': '1880069785494229'}, {'percentage': '0.000435', 'age': '55-64', 'gender': 'unknown', 'ad_id': '1880069785494229'}, {'percentage': '0.061721', 'age': '55-64', 'gender': 'female', 'ad_id': '1880069785494229'}, {'percentage': '0.08599', 'age': '45-54', 'gender': 'male', 'ad_id': '1880069785494229'}, {'percentage': '0.079397', 'age': '45-54', 'gender': 'female', 'ad_id': '1880069785494229'}, {'percentage': '0.108447', 'age': '35-44', 'gender': 'female', 'ad_id': '1880069785494229'}, {'percentage': '0.049986', 'age': '55-64', 'gender': 'male', 'ad_id': '1880069785494229'}, {'percentage': '0.120183', 'age': '35-44', 'gender': 'male', 'ad_id': '1880069785494229'}, {'percentage': '0.001739', 'age': '35-44', 'gender': 'unknown', 'ad_id': '1880069785494229'}, {'percentage': '7.2E-5', 'age': '18-24', 'gender': 'unknown', 'ad_id': '1880069785494229'}]",D66,20000,0,99,https://www.facebook.com/ads/library/?id=1880069785494229,EUR
202900354396249,135501903830947,Arnout van den Bosch - Raadslid PvdA Amstelveen,"De Partij van de Arbeid wil dat Amstelveners zeker kunnen zijn van een prettige woning. Niet alleen mensen met een topinkomen, maar iedereen. Dat wordt steeds moeilijker, de huizenprijzen en huren zijn enorm gestegen. De PvdA zet daarom in op de bouw van betaalbare woningen: sociale huur en vrije sector, koop en huur. 

Lees ons standpunt in het interview in het Amstelveens Nieuwsblad: 

https://www.amstelveensnieuwsblad.nl/premium/lokaal/politiek/322023/pvda-nog-steeds-voorstander-bouw-sociale-huurwoningen-684330/t2n8w9QZcBpvKXDFc8cjHiDj5LdnOWIa589tb4IH_NUcI9H7iEYOBKnEc4wzdMuPkqLCqASPlEgyNA3Znjj26bQwQTMwDkwcSb-bS3PRm0O73ms_dnZuLhKBQnWFNf3f",amstelveensnieuwsblad.nl,[AMSTELVEEN] De Amstelveense coalitiepartij PvdA heeft zich deze maand niet aangesloten bij oproepen van de linkse oppositiepartijen GroenLinks en SP om meer sociale huurwoningen in Amstelveen te bouwen. Toch is de partij van oudsher een bepleiter van bouw van huizen in de sociale sector. Volgens P...,PvdA nog steeds voorstander bouw sociale huurwoningen,2020-02-25,2020-02-29,"[{'percentage': '0.057572', 'age': '25-34', 'gender': 'male', 'ad_id': '202900354396249'}, {'percentage': '0.098248', 'age': '55-64', 'gender': 'male', 'ad_id': '202900354396249'}, {'percentage': '0.122028', 'age': '65+', 'gender': 'male', 'ad_id': '202900354396249'}, {'percentage': '0.091364', 'age': '45-54', 'gender': 'female', 'ad_id': '202900354396249'}, {'percentage': '0.040676', 'age': '18-24', 'gender': 'female', 'ad_id': '202900354396249'}, {'percentage': '0.141427', 'age': '55-64', 'gender': 'female', 'ad_id': '202900354396249'}, {'percentage': '0.209011', 'age': '65+', 'gender': 'female', 'ad_id': '202900354396249'}, {'percentage': '0.043179', 'age': '35-44', 'gender': 'male', 'ad_id': '202900354396249'}, {'percentage': '0.036921', 'age': '18-24', 'gender': 'male', 'ad_id': '202900354396249'}, {'percentage': '0.042553', 'age': '25-34', 'gender': 'female', 'ad_id': '202900354396249'}, {'percentage': '0.079474', 'age': '45-54', 'gender': 'male', 'ad_id': '202900354396249'}, {'percentage': '0.033792', 'age': '35-44', 'gender': 'female', 'ad_id': '202900354396249'}, {'percentage': '0.001252', 'age': '35-44', 'gender': 'unknown', 'ad_id': '202900354396249'}, {'percentage': '0.001877', 'age': '45-54', 'gender': 'unknown', 'ad_id': '202900354396249'}, {'percentage': '0.000626', 'age': '25-34', 'gender': 'unknown', 'ad_id': '202900354396249'}]",Arnout Van Den Bosch,2000,0,99,https://www.facebook.com/ads/library/?id=202900354396249,EUR
