ad_id,region,percentage
1050791149380637,Noord-Holland,0.00111
1050791149380637,Utrecht,0.99889
215383088249721,Drenthe,0.062835
215383088249721,Friesland,0.067563
215383088249721,Gelderland,0.12898
215383088249721,Groningen,0.060313
215383088249721,Limburg,0.092361
215383088249721,North Brabant,0.125197
215383088249721,Noord-Holland,0.113586
215383088249721,Utrecht,0.038037
215383088249721,Zeeland,0.028265
215383088249721,Zuid-Holland,0.175843
215383088249721,Overijssel,0.085636
215383088249721,Flevoland,0.021383
1127103325114191,Unknown,0.000302
1127103325114191,Drenthe,0.018443
1127103325114191,Friesland,0.028723
1127103325114191,Gelderland,0.10257
1127103325114191,Groningen,0.032804
1127103325114191,Limburg,0.044747
1127103325114191,North Brabant,0.139985
1127103325114191,Noord-Holland,0.207559
1127103325114191,Utrecht,0.078685
1127103325114191,Zeeland,0.017687
1127103325114191,Zuid-Holland,0.237566
1127103325114191,Overijssel,0.066818
1127103325114191,Flevoland,0.024112
1031357884735715,Unknown,0.000143
1031357884735715,Drenthe,0.01282
1031357884735715,Friesland,0.021243
1031357884735715,Gelderland,0.107387
1031357884735715,Groningen,0.042686
1031357884735715,Limburg,0.030808
1031357884735715,North Brabant,0.103789
1031357884735715,Noord-Holland,0.235702
1031357884735715,Utrecht,0.148988
1031357884735715,Zeeland,0.008966
1031357884735715,Zuid-Holland,0.223567
1031357884735715,Overijssel,0.048996
1031357884735715,Flevoland,0.014904
1157830321855524,Gelderland,1
333064232773892,Zuid-Holland,1
365740699267658,Unknown,0.000612
365740699267658,Drenthe,0.055722
365740699267658,Friesland,0.065397
365740699267658,Gelderland,0.13159
365740699267658,Groningen,0.048068
365740699267658,Limburg,0.090135
365740699267658,North Brabant,0.126447
365740699267658,Noord-Holland,0.120568
365740699267658,Utrecht,0.050762
365740699267658,Zeeland,0.025718
365740699267658,Zuid-Holland,0.176658
365740699267658,Overijssel,0.083645
365740699267658,Flevoland,0.024677
957124252440983,Unknown,0.000684
957124252440983,Drenthe,0.02429
957124252440983,Friesland,0.032159
957124252440983,Gelderland,0.126924
957124252440983,Groningen,0.050291
957124252440983,Limburg,0.049607
957124252440983,North Brabant,0.121108
957124252440983,Noord-Holland,0.15053
957124252440983,Utrecht,0.107082
957124252440983,Zeeland,0.012316
957124252440983,Zuid-Holland,0.23948
957124252440983,Overijssel,0.068423
957124252440983,Flevoland,0.017106
1475430749685884,Noord-Holland,0.993985
1475430749685884,Utrecht,0.006015
323199400448215,Unknown,1.6E-5
323199400448215,Drenthe,0.03299
323199400448215,Friesland,0.048367
323199400448215,Gelderland,0.142271
323199400448215,Groningen,0.048834
323199400448215,Limburg,0.055493
323199400448215,North Brabant,0.139247
323199400448215,Noord-Holland,0.129789
323199400448215,Utrecht,0.078269
323199400448215,Zeeland,0.024079
323199400448215,Zuid-Holland,0.194
323199400448215,Overijssel,0.085958
323199400448215,Flevoland,0.020685
864608858666562,Drenthe,0.030561
864608858666562,Friesland,0.049121
864608858666562,Gelderland,0.143176
864608858666562,Groningen,0.056726
864608858666562,Limburg,0.059238
864608858666562,North Brabant,0.147851
864608858666562,Noord-Holland,0.133198
864608858666562,Utrecht,0.088404
864608858666562,Zeeland,0.021979
864608858666562,Zuid-Holland,0.16676
864608858666562,Overijssel,0.08638
864608858666562,Flevoland,0.016606
872182024308262,Unknown,0.000127
872182024308262,Drenthe,0.028859
872182024308262,Friesland,0.043949
872182024308262,Gelderland,0.141395
872182024308262,Groningen,0.052772
872182024308262,Limburg,0.052627
872182024308262,North Brabant,0.140616
872182024308262,Noord-Holland,0.134239
872182024308262,Utrecht,0.090344
872182024308262,Zeeland,0.020417
872182024308262,Zuid-Holland,0.192174
872182024308262,Overijssel,0.08404
872182024308262,Flevoland,0.018442
1495701527884461,Drenthe,0.052101
1495701527884461,Friesland,0.061735
1495701527884461,Gelderland,0.137605
1495701527884461,Groningen,0.047474
1495701527884461,Limburg,0.087342
1495701527884461,North Brabant,0.157761
1495701527884461,Noord-Holland,0.105026
1495701527884461,Utrecht,0.061038
1495701527884461,Zeeland,0.020093
1495701527884461,Zuid-Holland,0.141979
1495701527884461,Overijssel,0.104456
1495701527884461,Flevoland,0.023388
839956291466873,Unknown,0.000211
839956291466873,Drenthe,0.04074
839956291466873,Friesland,0.056758
839956291466873,Gelderland,0.130674
839956291466873,Groningen,0.045474
839956291466873,Limburg,0.074592
839956291466873,North Brabant,0.127715
839956291466873,Noord-Holland,0.144789
839956291466873,Utrecht,0.070493
839956291466873,Zeeland,0.023836
839956291466873,Zuid-Holland,0.187896
839956291466873,Overijssel,0.071761
839956291466873,Flevoland,0.025061
662721042716891,Unknown,0.000159
662721042716891,Drenthe,0.050768
662721042716891,Friesland,0.059639
662721042716891,Gelderland,0.130735
662721042716891,Groningen,0.047793
662721042716891,Limburg,0.07531
662721042716891,North Brabant,0.141342
662721042716891,Noord-Holland,0.120376
662721042716891,Utrecht,0.055124
662721042716891,Zeeland,0.024366
662721042716891,Zuid-Holland,0.191366
662721042716891,Overijssel,0.079206
662721042716891,Flevoland,0.023817
308988138747934,Drenthe,0.056716
308988138747934,Friesland,0.070991
308988138747934,Gelderland,0.140544
308988138747934,Groningen,0.044357
308988138747934,Limburg,0.088427
308988138747934,North Brabant,0.15022
308988138747934,Noord-Holland,0.109887
308988138747934,Utrecht,0.04771
308988138747934,Zeeland,0.034106
308988138747934,Zuid-Holland,0.145143
308988138747934,Overijssel,0.090056
308988138747934,Flevoland,0.021843
1039881677211279,Unknown,0.000143
1039881677211279,Drenthe,0.052083
1039881677211279,Friesland,0.061888
1039881677211279,Gelderland,0.13724
1039881677211279,Groningen,0.04889
1039881677211279,Limburg,0.106068
1039881677211279,North Brabant,0.148293
1039881677211279,Noord-Holland,0.09945
1039881677211279,Utrecht,0.04547
1039881677211279,Zeeland,0.027677
1039881677211279,Zuid-Holland,0.158347
1039881677211279,Overijssel,0.094809
1039881677211279,Flevoland,0.019643
802050568275187,Gelderland,0.042345
802050568275187,Utrecht,0.957655
172499859279438,Noord-Holland,0.001959
172499859279438,Utrecht,0.998041
718700203115194,Groningen,0.087045
718700203115194,North Brabant,0.140688
718700203115194,Noord-Holland,0.305668
718700203115194,Utrecht,0.230769
718700203115194,Zuid-Holland,0.23583
725440019012694,Unknown,0.000133
725440019012694,Drenthe,0.062517
725440019012694,Friesland,0.066366
725440019012694,Gelderland,0.148925
725440019012694,Groningen,0.055615
725440019012694,Limburg,0.115742
725440019012694,North Brabant,0.135519
725440019012694,Noord-Holland,0.089727
725440019012694,Utrecht,0.036634
725440019012694,Zeeland,0.028537
725440019012694,Zuid-Holland,0.145341
725440019012694,Overijssel,0.096496
725440019012694,Flevoland,0.01845
1042027386944822,Drenthe,0.063021
1042027386944822,Friesland,0.065073
1042027386944822,Gelderland,0.128939
1042027386944822,Groningen,0.055656
1042027386944822,Limburg,0.065194
1042027386944822,North Brabant,0.111071
1042027386944822,Noord-Holland,0.146203
1042027386944822,Utrecht,0.060123
1042027386944822,Zeeland,0.023301
1042027386944822,Zuid-Holland,0.169504
1042027386944822,Overijssel,0.085838
1042027386944822,Flevoland,0.026078
661465739464834,Unknown,0.000218
661465739464834,Drenthe,0.016807
661465739464834,Friesland,0.025999
661465739464834,Gelderland,0.104868
661465739464834,Groningen,0.031711
661465739464834,Limburg,0.046342
661465739464834,North Brabant,0.142453
661465739464834,Noord-Holland,0.202992
661465739464834,Utrecht,0.076367
661465739464834,Zeeland,0.018493
661465739464834,Zuid-Holland,0.245744
661465739464834,Overijssel,0.063312
661465739464834,Flevoland,0.024694
1063641728160005,Unknown,6.5E-5
1063641728160005,Drenthe,0.060835
1063641728160005,Friesland,0.066522
1063641728160005,Gelderland,0.135383
1063641728160005,Groningen,0.058527
1063641728160005,Limburg,0.087125
1063641728160005,North Brabant,0.130541
1063641728160005,Noord-Holland,0.101683
1063641728160005,Utrecht,0.039061
1063641728160005,Zeeland,0.03253
1063641728160005,Zuid-Holland,0.173599
1063641728160005,Overijssel,0.095021
1063641728160005,Flevoland,0.019108
24482486904683155,Drenthe,0.118644
24482486904683155,Friesland,0.090395
24482486904683155,Gelderland,0.175141
24482486904683155,Groningen,0.110169
24482486904683155,Limburg,0.135593
24482486904683155,North Brabant,0.070621
24482486904683155,Noord-Holland,0.107345
24482486904683155,Utrecht,0.022599
24482486904683155,Zeeland,0.014124
24482486904683155,Zuid-Holland,0.039548
24482486904683155,Overijssel,0.096045
24482486904683155,Flevoland,0.019774
887328189527464,Drenthe,0.0677
887328189527464,Friesland,0.062027
887328189527464,Gelderland,0.142492
887328189527464,Groningen,0.056732
887328189527464,Limburg,0.096067
887328189527464,North Brabant,0.146936
887328189527464,Noord-Holland,0.087746
887328189527464,Utrecht,0.042549
887328189527464,Zeeland,0.028555
887328189527464,Zuid-Holland,0.151664
887328189527464,Overijssel,0.097296
887328189527464,Flevoland,0.020234
1058080788669695,Zuid-Holland,1
1105116187141927,Unknown,0.000137
1105116187141927,Drenthe,0.040559
1105116187141927,Friesland,0.056591
1105116187141927,Gelderland,0.138942
1105116187141927,Groningen,0.04878
1105116187141927,Limburg,0.06029
1105116187141927,North Brabant,0.137024
1105116187141927,Noord-Holland,0.120444
1105116187141927,Utrecht,0.072486
1105116187141927,Zeeland,0.022746
1105116187141927,Zuid-Holland,0.184297
1105116187141927,Overijssel,0.099479
1105116187141927,Flevoland,0.018224
1041674720297849,Unknown,0.000123
1041674720297849,Drenthe,0.032278
1041674720297849,Friesland,0.052939
1041674720297849,Gelderland,0.141257
