ad_id,region,percentage
525463248697745,Noord-Holland,0.87711
525463248697745,Utrecht,0.024983
525463248697745,Flevoland,0.097907
525463248697745,Zuid-Holland,0
525463248697745,Groningen,0
525463248697745,Gelderland,0
525463248697745,Friesland,0
525463248697745,Overijssel,0
525463248697745,Zeeland,0
525463248697745,North Brabant,0
525463248697745,Limburg,0
311189277059439,Drenthe,0.032198
311189277059439,Friesland,0.048997
311189277059439,Gelderland,0.078395
311189277059439,Groningen,0.326178
311189277059439,Limburg,0.034998
311189277059439,North Brabant,0.057863
311189277059439,Noord-Holland,0.172189
311189277059439,Utrecht,0.049463
311189277059439,Zeeland,0.011666
311189277059439,Zuid-Holland,0.126925
311189277059439,Overijssel,0.048063
311189277059439,Flevoland,0.013066
136518665080299,Noord-Holland,1
136518665080299,Utrecht,0
136518665080299,Flevoland,0
136518665080299,Zuid-Holland,0
136518665080299,Groningen,0
136518665080299,Gelderland,0
136518665080299,Friesland,0
136518665080299,Overijssel,0
136518665080299,Zeeland,0
136518665080299,North Brabant,0
136518665080299,Limburg,0
461146175206312,Noord-Holland,1
461146175206312,Utrecht,0
461146175206312,Flevoland,0
461146175206312,Zuid-Holland,0
461146175206312,Groningen,0
461146175206312,Gelderland,0
461146175206312,Friesland,0
461146175206312,Overijssel,0
461146175206312,Zeeland,0
461146175206312,North Brabant,0
461146175206312,Limburg,0
1133500240432308,Gelderland,0.140351
1133500240432308,North Brabant,0.859649
1133500240432308,Utrecht,0
1133500240432308,Flevoland,0
1133500240432308,Zuid-Holland,0
1133500240432308,Groningen,0
1133500240432308,Noord-Holland,0
1133500240432308,Friesland,0
1133500240432308,Overijssel,0
1133500240432308,Zeeland,0
1133500240432308,Limburg,0
1181052305687008,Drenthe,0.024795
1181052305687008,Friesland,0.031615
1181052305687008,Gelderland,0.101059
1181052305687008,Groningen,0.028835
1181052305687008,Limburg,0.077446
1181052305687008,North Brabant,0.14817
1181052305687008,Noord-Holland,0.172161
1181052305687008,Utrecht,0.053722
1181052305687008,Zeeland,0.022666
1181052305687008,Zuid-Holland,0.251094
1181052305687008,Overijssel,0.061664
1181052305687008,Flevoland,0.026771
178559940460843,Zeeland,1
178559940460843,Utrecht,0
178559940460843,Flevoland,0
178559940460843,Zuid-Holland,0
178559940460843,Groningen,0
178559940460843,Noord-Holland,0
178559940460843,Gelderland,0
178559940460843,Friesland,0
178559940460843,Overijssel,0
178559940460843,North Brabant,0
178559940460843,Limburg,0
168965398325126,Noord-Holland,1
168965398325126,Utrecht,0
168965398325126,Flevoland,0
168965398325126,Zuid-Holland,0
168965398325126,Groningen,0
168965398325126,Gelderland,0
168965398325126,Friesland,0
168965398325126,Overijssel,0
168965398325126,Zeeland,0
168965398325126,North Brabant,0
168965398325126,Limburg,0
1880069785494229,Zuid-Holland,1
1880069785494229,Utrecht,0
1880069785494229,Flevoland,0
1880069785494229,Groningen,0
1880069785494229,Noord-Holland,0
1880069785494229,Gelderland,0
1880069785494229,Friesland,0
1880069785494229,Overijssel,0
1880069785494229,Zeeland,0
1880069785494229,North Brabant,0
1880069785494229,Limburg,0
202900354396249,Noord-Holland,1
202900354396249,Utrecht,0
202900354396249,Flevoland,0
202900354396249,Zuid-Holland,0
202900354396249,Groningen,0
202900354396249,Gelderland,0
202900354396249,Friesland,0
202900354396249,Overijssel,0
202900354396249,Zeeland,0
202900354396249,North Brabant,0
202900354396249,Limburg,0
354019018623123,Gelderland,1
354019018623123,Utrecht,0
354019018623123,Flevoland,0
354019018623123,Zuid-Holland,0
354019018623123,Groningen,0
354019018623123,Noord-Holland,0
354019018623123,Friesland,0
354019018623123,Overijssel,0
354019018623123,Zeeland,0
354019018623123,North Brabant,0
354019018623123,Limburg,0
