ad_id,region,percentage
213921107426464,Gelderland,1
213921107426464,Utrecht,0
213921107426464,Zeeland,0
213921107426464,Flevoland,0
213921107426464,Zuid-Holland,0
213921107426464,Overijssel,0
213921107426464,Noord-Holland,0
213921107426464,Limburg,0
213921107426464,Friesland,0
213921107426464,North Brabant,0
213921107426464,Groningen,0
370230621364815,Gelderland,1
370230621364815,Utrecht,0
370230621364815,Zeeland,0
370230621364815,Flevoland,0
370230621364815,Zuid-Holland,0
370230621364815,Overijssel,0
370230621364815,Noord-Holland,0
370230621364815,Limburg,0
370230621364815,Friesland,0
370230621364815,North Brabant,0
370230621364815,Groningen,0
531269464820552,North Brabant,1
531269464820552,Utrecht,0
531269464820552,Gelderland,0
531269464820552,Zeeland,0
531269464820552,Flevoland,0
531269464820552,Zuid-Holland,0
531269464820552,Overijssel,0
531269464820552,Noord-Holland,0
531269464820552,Limburg,0
531269464820552,Friesland,0
531269464820552,Groningen,0
560834021631234,Limburg,1
560834021631234,Utrecht,0
560834021631234,Gelderland,0
560834021631234,Zeeland,0
560834021631234,Flevoland,0
560834021631234,Zuid-Holland,0
560834021631234,Overijssel,0
560834021631234,Noord-Holland,0
560834021631234,Friesland,0
560834021631234,North Brabant,0
560834021631234,Groningen,0
1445324835867284,Friesland,1
1445324835867284,Utrecht,0
1445324835867284,Gelderland,0
1445324835867284,Zeeland,0
1445324835867284,Flevoland,0
1445324835867284,Zuid-Holland,0
1445324835867284,Overijssel,0
1445324835867284,Noord-Holland,0
1445324835867284,Limburg,0
1445324835867284,North Brabant,0
1445324835867284,Groningen,0
1738903362978047,Drenthe,1
1738903362978047,Utrecht,0
1738903362978047,Gelderland,0
1738903362978047,Zeeland,0
1738903362978047,Flevoland,0
1738903362978047,Zuid-Holland,0
1738903362978047,Overijssel,0
1738903362978047,Noord-Holland,0
1738903362978047,Limburg,0
1738903362978047,Friesland,0
1738903362978047,North Brabant,0
1738903362978047,Groningen,0
1525964154415380,Friesland,0.020772
1525964154415380,Gelderland,0.020772
1525964154415380,Noord-Holland,0.804154
1525964154415380,Utrecht,0.011869
1525964154415380,Zuid-Holland,0.005935
1525964154415380,Flevoland,0.136499
1525964154415380,Zeeland,0
1525964154415380,Overijssel,0
1525964154415380,Limburg,0
1525964154415380,North Brabant,0
1525964154415380,Groningen,0
820514368838943,Drenthe,0.058841
820514368838943,Friesland,0.053031
820514368838943,Gelderland,0.125726
820514368838943,Groningen,0.065247
820514368838943,Limburg,0.106659
820514368838943,North Brabant,0.132132
820514368838943,Noord-Holland,0.091315
820514368838943,Utrecht,0.041859
820514368838943,Zeeland,0.027707
