ad_id,region,percentage
1249988592138749,Drenthe,0.02407
1249988592138749,Friesland,0.037199
1249988592138749,Gelderland,0.108315
1249988592138749,Groningen,0.02954
1249988592138749,Limburg,0.053611
1249988592138749,North Brabant,0.126915
1249988592138749,Noord-Holland,0.158643
1249988592138749,Utrecht,0.071116
1249988592138749,Zeeland,0.031729
1249988592138749,Zuid-Holland,0.252735
1249988592138749,Overijssel,0.068928
1249988592138749,Flevoland,0.037199
2810064679062986,Drenthe,0.940444
2810064679062986,Groningen,0.057125
2810064679062986,Niedersachsen,0.002431
2810064679062986,Gelderland,0
2810064679062986,Overijssel,0
2810064679062986,Utrecht,0
2810064679062986,Friesland,0
2810064679062986,Zuid-Holland,0
2810064679062986,North Brabant,0
2810064679062986,Limburg,0
2810064679062986,Flevoland,0
2810064679062986,Zeeland,0
2810064679062986,Noord-Holland,0
