ad_id,region,percentage
1525964154415380,Friesland,0.020772
1525964154415380,Gelderland,0.020772
1525964154415380,Noord-Holland,0.804154
1525964154415380,Utrecht,0.011869
1525964154415380,Zuid-Holland,0.005935
1525964154415380,Flevoland,0.136499
1525964154415380,Groningen,0
1525964154415380,Limburg,0
1525964154415380,Zeeland,0
1525964154415380,North Brabant,0
1525964154415380,Overijssel,0
963084447860385,North Brabant,1
963084447860385,Groningen,0
963084447860385,Noord-Holland,0
963084447860385,Gelderland,0
963084447860385,Utrecht,0
963084447860385,Friesland,0
963084447860385,Zuid-Holland,0
963084447860385,Zeeland,0
963084447860385,Limburg,0
963084447860385,Flevoland,0
963084447860385,Overijssel,0
1174156816364915,Drenthe,0.033797
1174156816364915,Groningen,0.021869
1174156816364915,Limburg,0.023857
1174156816364915,Flevoland,0.031809
1174156816364915,Friesland,0.031809
1174156816364915,Gelderland,0.172962
1174156816364915,North Brabant,0.067594
1174156816364915,Noord-Holland,0.079523
1174156816364915,Utrecht,0.137177
1174156816364915,Zeeland,0.049702
1174156816364915,Zuid-Holland,0.282306
1174156816364915,Overijssel,0.067594
2795265877450464,Friesland,0.083691
2795265877450464,Gelderland,0.158798
2795265877450464,Groningen,0.038627
2795265877450464,Limburg,0.036481
2795265877450464,Utrecht,0.081545
2795265877450464,Zuid-Holland,0.203863
2795265877450464,Overijssel,0.096567
2795265877450464,Flevoland,0.040773
2795265877450464,Drenthe,0.038627
2795265877450464,North Brabant,0.066524
2795265877450464,Noord-Holland,0.113734
2795265877450464,Zeeland,0.040773
284589833395925,Drenthe,0.034247
284589833395925,Friesland,0.047945
284589833395925,Gelderland,0.19863
284589833395925,Groningen,0.020548
284589833395925,Limburg,0.027397
284589833395925,North Brabant,0.047945
284589833395925,Noord-Holland,0.10274
284589833395925,Utrecht,0.109589
284589833395925,Zeeland,0.054795
284589833395925,Zuid-Holland,0.232877
284589833395925,Overijssel,0.075342
284589833395925,Flevoland,0.047945
164592195545979,Limburg,0.033898
164592195545979,North Brabant,0.033898
164592195545979,Utrecht,0.084746
164592195545979,Zeeland,0.033898
164592195545979,Drenthe,0.067797
164592195545979,Overijssel,0.033898
164592195545979,Friesland,0.118644
164592195545979,Gelderland,0.169492
164592195545979,Noord-Holland,0.152542
164592195545979,Zuid-Holland,0.20339
164592195545979,Flevoland,0.067797
164592195545979,Groningen,0
497383811505406,Drenthe,0.0189
497383811505406,Friesland,0.036082
497383811505406,Gelderland,0.243986
497383811505406,Groningen,0.015464
497383811505406,Limburg,0.006873
497383811505406,North Brabant,0.0189
497383811505406,Noord-Holland,0.046392
497383811505406,Utrecht,0.152921
497383811505406,Zeeland,0.068729
497383811505406,Zuid-Holland,0.280069
497383811505406,Overijssel,0.092784
497383811505406,Flevoland,0.0189
301297438298752,Drenthe,0.037937
301297438298752,Friesland,0.056906
301297438298752,Gelderland,0.168939
301297438298752,Groningen,0.03853
301297438298752,Limburg,0.021932
301297438298752,North Brabant,0.056906
301297438298752,Noord-Holland,0.103734
301297438298752,Utrecht,0.093657
301297438298752,Zeeland,0.056906
301297438298752,Zuid-Holland,0.22703
301297438298752,Overijssel,0.091286
301297438298752,Flevoland,0.046236
2868627523386974,Drenthe,0.040831
2868627523386974,Friesland,0.066134
2868627523386974,Gelderland,0.162236
2868627523386974,Groningen,0.048435
2868627523386974,Limburg,0.036869
2868627523386974,North Brabant,0.070799
2868627523386974,Noord-Holland,0.102045
2868627523386974,Utrecht,0.076166
2868627523386974,Zeeland,0.051374
2868627523386974,Zuid-Holland,0.20607
2868627523386974,Overijssel,0.096741
2868627523386974,Flevoland,0.0423
244753534085068,Drenthe,0.046305
244753534085068,Friesland,0.055172
244753534085068,Gelderland,0.190148
244753534085068,Groningen,0.037438
244753534085068,Limburg,0.021675
244753534085068,North Brabant,0.082759
244753534085068,Noord-Holland,0.099507
244753534085068,Utrecht,0.06601
244753534085068,Zeeland,0.068966
244753534085068,Zuid-Holland,0.211823
244753534085068,Overijssel,0.084729
244753534085068,Flevoland,0.035468
333208104912471,Drenthe,0.040105
333208104912471,Friesland,0.059285
333208104912471,Gelderland,0.149956
333208104912471,Groningen,0.046207
333208104912471,Limburg,0.038361
333208104912471,North Brabant,0.081081
333208104912471,Noord-Holland,0.104621
333208104912471,Utrecht,0.088056
333208104912471,Zeeland,0.03313
333208104912471,Zuid-Holland,0.224935
333208104912471,Overijssel,0.094159
333208104912471,Flevoland,0.040105
140631898046161,Drenthe,0.050535
140631898046161,Friesland,0.070155
140631898046161,Gelderland,0.179548
140631898046161,Groningen,0.052319
140631898046161,Limburg,0.046968
140631898046161,North Brabant,0.085018
140631898046161,Noord-Holland,0.08264
140631898046161,Utrecht,0.058264
140631898046161,Zeeland,0.055291
140631898046161,Zuid-Holland,0.182521
140631898046161,Overijssel,0.107015
140631898046161,Flevoland,0.029727
217196019877326,Drenthe,0.053731
217196019877326,Friesland,0.077612
217196019877326,Gelderland,0.111194
217196019877326,Groningen,0.041045
217196019877326,Limburg,0.05
217196019877326,North Brabant,0.112687
217196019877326,Noord-Holland,0.123134
217196019877326,Utrecht,0.05
217196019877326,Zeeland,0.023134
217196019877326,Zuid-Holland,0.223881
217196019877326,Overijssel,0.088806
217196019877326,Flevoland,0.044776
315301106655394,Drenthe,0.057607
315301106655394,Friesland,0.057143
315301106655394,Gelderland,0.139373
315301106655394,Groningen,0.046922
315301106655394,Limburg,0.060395
315301106655394,North Brabant,0.097096
315301106655394,Noord-Holland,0.105923
315301106655394,Utrecht,0.050407
315301106655394,Zeeland,0.029965
315301106655394,Zuid-Holland,0.218118
315301106655394,Overijssel,0.090592
315301106655394,Flevoland,0.046458
371770977554788,Drenthe,0.027875
371770977554788,Friesland,0.04878
371770977554788,Gelderland,0.1777
371770977554788,Groningen,0.031359
371770977554788,North Brabant,0.076655
371770977554788,Noord-Holland,0.087108
371770977554788,Utrecht,0.118467
371770977554788,Zeeland,0.066202
371770977554788,Zuid-Holland,0.264808
371770977554788,Overijssel,0.052265
371770977554788,Flevoland,0.034843
371770977554788,Limburg,0.013937
456631602067505,Limburg,0.009058
456631602067505,Drenthe,0.018116
456631602067505,Friesland,0.032609
456631602067505,Gelderland,0.23913
456631602067505,Groningen,0.021739
456631602067505,North Brabant,0.025362
456631602067505,Noord-Holland,0.057971
456631602067505,Utrecht,0.166667
456631602067505,Zeeland,0.056159
456631602067505,Zuid-Holland,0.257246
456631602067505,Flevoland,0.025362
456631602067505,Overijssel,0.09058
758172431560895,Drenthe,0.056425
758172431560895,Friesland,0.081694
758172431560895,Gelderland,0.178033
758172431560895,Groningen,0.066045
758172431560895,Limburg,0.04135
758172431560895,North Brabant,0.087724
758172431560895,Noord-Holland,0.092319
758172431560895,Utrecht,0.064034
758172431560895,Zeeland,0.044939
758172431560895,Zuid-Holland,0.161378
758172431560895,Overijssel,0.099928
758172431560895,Flevoland,0.026131
890613844820408,Drenthe,0.037555
890613844820408,Friesland,0.049705
890613844820408,Gelderland,0.157585
890613844820408,Groningen,0.040133
890613844820408,Limburg,0.029823
890613844820408,North Brabant,0.071797
890613844820408,Noord-Holland,0.10162
890613844820408,Utrecht,0.092047
890613844820408,Zeeland,0.049705
890613844820408,Zuid-Holland,0.220545
890613844820408,Overijssel,0.099779
890613844820408,Flevoland,0.049705
1787883504727136,Drenthe,0.037607
1787883504727136,Friesland,0.039316
1787883504727136,Gelderland,0.17265
1787883504727136,Groningen,0.02906
1787883504727136,Limburg,0.018803
1787883504727136,North Brabant,0.061538
1787883504727136,Noord-Holland,0.090598
1787883504727136,Utrecht,0.111111
1787883504727136,Zeeland,0.049573
1787883504727136,Zuid-Holland,0.276923
1787883504727136,Overijssel,0.068376
1787883504727136,Flevoland,0.044444
2856975561181212,Drenthe,0.040358
2856975561181212,Friesland,0.056194
2856975561181212,Gelderland,0.162963
2856975561181212,Groningen,0.042656
2856975561181212,Limburg,0.027075
2856975561181212,North Brabant,0.069221
2856975561181212,Noord-Holland,0.108301
2856975561181212,Utrecht,0.086079
2856975561181212,Zeeland,0.046743
2856975561181212,Zuid-Holland,0.221967
2856975561181212,Overijssel,0.098851
2856975561181212,Flevoland,0.039591
167334478610054,Niedersachsen,0.000971
167334478610054,Drenthe,0.999029
167334478610054,Groningen,0
167334478610054,Noord-Holland,0
167334478610054,Gelderland,0
167334478610054,Utrecht,0
167334478610054,Flevoland,0
167334478610054,Friesland,0
167334478610054,Zuid-Holland,0
167334478610054,Limburg,0
167334478610054,Zeeland,0
167334478610054,North Brabant,0
167334478610054,Overijssel,0
2902405500031544,Zeeland,0.093333
2902405500031544,Zuid-Holland,0.906667
2902405500031544,Groningen,0
2902405500031544,Noord-Holland,0
2902405500031544,Gelderland,0
2902405500031544,Utrecht,0
2902405500031544,Friesland,0
2902405500031544,Limburg,0
2902405500031544,Flevoland,0
2902405500031544,North Brabant,0
2902405500031544,Overijssel,0
1806534549515241,Overijssel,1
1806534549515241,Groningen,0
1806534549515241,Noord-Holland,0
1806534549515241,Gelderland,0
1806534549515241,Utrecht,0
1806534549515241,Friesland,0
1806534549515241,Zuid-Holland,0
1806534549515241,Zeeland,0
1806534549515241,Limburg,0
1806534549515241,Flevoland,0
1806534549515241,North Brabant,0
477617036576637,Overijssel,1
477617036576637,Groningen,0
477617036576637,Noord-Holland,0
477617036576637,Gelderland,0
477617036576637,Utrecht,0
477617036576637,Friesland,0
477617036576637,Zuid-Holland,0
477617036576637,Zeeland,0
477617036576637,Limburg,0
477617036576637,Flevoland,0
477617036576637,North Brabant,0
3996018453788098,Overijssel,1
3996018453788098,Groningen,0
3996018453788098,Noord-Holland,0
3996018453788098,Gelderland,0
3996018453788098,Utrecht,0
3996018453788098,Friesland,0
3996018453788098,Zuid-Holland,0
3996018453788098,Zeeland,0
3996018453788098,Limburg,0
3996018453788098,Flevoland,0
3996018453788098,North Brabant,0
765176097439847,Overijssel,1
765176097439847,Groningen,0
765176097439847,Noord-Holland,0
765176097439847,Gelderland,0
765176097439847,Utrecht,0
765176097439847,Friesland,0
765176097439847,Zuid-Holland,0
765176097439847,Zeeland,0
765176097439847,Limburg,0
765176097439847,Flevoland,0
765176097439847,North Brabant,0
446592593317921,Overijssel,1
446592593317921,Groningen,0
446592593317921,Noord-Holland,0
446592593317921,Gelderland,0
446592593317921,Utrecht,0
446592593317921,Friesland,0
446592593317921,Zuid-Holland,0
446592593317921,Zeeland,0
446592593317921,Limburg,0
446592593317921,Flevoland,0
446592593317921,North Brabant,0
454011292601391,North Brabant,1
454011292601391,Groningen,0
454011292601391,Noord-Holland,0
454011292601391,Gelderland,0
454011292601391,Utrecht,0
454011292601391,Friesland,0
454011292601391,Zuid-Holland,0
454011292601391,Zeeland,0
454011292601391,Limburg,0
454011292601391,Flevoland,0
454011292601391,Overijssel,0
188529539424231,North Brabant,1
188529539424231,Groningen,0
188529539424231,Noord-Holland,0
188529539424231,Gelderland,0
188529539424231,Utrecht,0
188529539424231,Friesland,0
188529539424231,Zuid-Holland,0
188529539424231,Zeeland,0
188529539424231,Limburg,0
188529539424231,Flevoland,0
188529539424231,Overijssel,0
322754232524483,North Brabant,1
322754232524483,Groningen,0
322754232524483,Noord-Holland,0
322754232524483,Gelderland,0
322754232524483,Utrecht,0
322754232524483,Friesland,0
